area,topic,servicename,foruser,deptname,promiseday,wscs,ckcs,starprorepty
厦门市,户籍办理,随军家属落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,未成年子女投靠父母落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,个人户籍资料查询,"个人,企业,事业单位,行政机关",厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,留学人员落户办事指南,个人,厦门市公安局,0个工作日,1.0,1.0,4
厦门市,户籍办理,留学人员来厦落户,个人,厦门市留学人员管理中心,0个工作日,,0.0,4
厦门市,户籍办理,直管公房租赁合同管理,"个人,企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,0个工作日,,1.0,4
厦门市,户籍办理,华侨来闽定居,个人,厦门市人民政府外事侨务办公室,10个工作日,2.0,2.0,3
厦门市,户籍办理,房屋代管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,1.0,4
厦门市,户籍办理,直管公房租金管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,,0.0,5
厦门市,户籍办理,直管公房维修管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,0.0,5
厦门市,户籍办理,厦门市城镇房屋权属登记查询,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,1.0,1.0,3
厦门市,教育科研,厦门市城镇房屋权属登记查询,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,1.0,1.0,3
厦门市,教育科研,华侨、外籍中小学生在厦就读介绍信,个人,厦门市人民政府外事侨务办公室,0个工作日,1.0,1.0,4
厦门市,教育科研,直管公房非住宅转租核准,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,4个工作日,1.0,1.0,4
厦门市,教育科研,设立民办技工学校--设立,"个人,企业,事业单位,民办非企业单位,社团组织,其他组织",厦门市人力资源和社会保障局,10个工作日,0.0,0.0,4
厦门市,教育科研,中招“注意录取”学生花名册确认,个人,厦门市教育局,8个工作日,1.0,1.0,4
厦门市,教育科研,“三侨生”升学照顾身份证明,个人,厦门市人民政府外事侨务办公室,0个工作日,1.0,1.0,4
厦门市,教育科研,拆迁补偿房屋接收、接管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,5个工作日,,1.0,4
厦门市,教育科研,厦门市国土房产测绘档案查阅,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,42个小时,2.0,2.0,3
厦门市,教育科研,直管公房租赁合同管理,"个人,企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,0个工作日,,1.0,4
厦门市,教育科研,房屋代管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,1.0,4
厦门市,教育科研,直管公房租金管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,,0.0,5
厦门市,教育科研,直管公房维修管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,0.0,5
厦门市,教育科研,中等职业学校补办毕业证明书,个人,厦门市教育局,8个工作日,1.0,1.0,4
厦门市,入伍服役,厦门市城镇房屋权属登记查询,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,1.0,1.0,3
厦门市,入伍服役,直管公房非住宅转租核准,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,4个工作日,1.0,1.0,4
厦门市,入伍服役,厦门市国土房产测绘档案查阅,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,42个小时,2.0,2.0,3
厦门市,入伍服役,拆迁补偿房屋接收、接管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,5个工作日,,1.0,4
厦门市,入伍服役,房屋代管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,1.0,4
厦门市,入伍服役,直管公房租金管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,,0.0,5
厦门市,入伍服役,直管公房维修管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,0.0,5
厦门市,入伍服役,直管公房租赁合同管理,"个人,企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,0个工作日,,1.0,4
厦门市,就业创业,导游证核发,"个人,企业",厦门市旅游发展委员会,5个工作日,,1.0,5
厦门市,就业创业,拆迁补偿房屋接收、接管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,5个工作日,,1.0,4
厦门市,就业创业,直管公房维修管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,0.0,5
厦门市,就业创业,直管公房租金管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,,0.0,5
厦门市,就业创业,房屋代管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,1.0,4
厦门市,就业创业,2、建筑施工特种作业人员岗位考核发证（证书报考）,"个人,企业",厦门市建设局,7个工作日,1.0,1.0,4
厦门市,就业创业,直管公房租赁合同管理,"个人,企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,0个工作日,,1.0,4
厦门市,就业创业,特种设备作业人员证核发,个人,厦门市质量技术监督局,7个工作日,1.0,0.0,5
厦门市,就业创业,留学人员人事关系录用,个人,厦门市留学人员管理中心,0个工作日,,0.0,4
厦门市,就业创业,创业指导与服务,个人,厦门市劳动就业管理中心,0个工作日,,1.0,5
厦门市,就业创业,建筑施工特种作业人员岗位考核发证（其他事项：证书延期、证书注销、证书换证、证书校正、证书遗失补证）,"个人,企业",厦门市建设局,0个工作日,1.0,1.0,4
厦门市,就业创业,创业项目奖励,"个人,企业,民办非企业单位,社团组织,其他组织",厦门市劳动就业管理中心,7个工作日,,1.0,5
厦门市,就业创业,厦门市国土房产测绘档案查阅,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,42个小时,2.0,2.0,3
厦门市,就业创业,设立民办技工学校--设立,"个人,企业,事业单位,民办非企业单位,社团组织,其他组织",厦门市人力资源和社会保障局,10个工作日,0.0,0.0,4
厦门市,就业创业,直管公房非住宅转租核准,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,4个工作日,1.0,1.0,4
厦门市,就业创业,厦门市城镇房屋权属登记查询,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,1.0,1.0,3
厦门市,就业创业,基层法律服务工作者执业核准,个人,厦门市司法局,5个工作日,2.0,1.0,5
厦门市,就业创业,司法鉴定人执业登记初审,个人,厦门市司法局,7个工作日,2.0,1.0,5
厦门市,就业创业,首次申领专（兼）职律师执业证初审,个人,厦门市司法局,7个工作日,2.0,1.0,5
厦门市,就业创业,首次申领法律援助中心律师工作证初审,个人,厦门市司法局,7个工作日,2.0,1.0,5
厦门市,就业创业,重新申领专（兼）职律师执业证初审,个人,厦门市司法局,7个工作日,2.0,1.0,5
厦门市,就业创业,重新申领法律援助中心律师工作证初审,个人,厦门市司法局,7个工作日,2.0,1.0,5
厦门市,就业创业,专（兼）职律师变更执业机构（跨设区市变更执业机构为初审）,个人,厦门市司法局,7个工作日,2.0,1.0,5
厦门市,就业创业,取得国家法律职业资格的台湾居民在大陆从事律师职业核准初审,个人,厦门市司法局,7个工作日,2.0,1.0,5
厦门市,就业创业,台湾律师事务所驻大陆代表机构派驻代表执业许可初审,个人,厦门市司法局,20个工作日,2.0,1.0,5
厦门市,就业创业,司法鉴定人延续,个人,厦门市司法局,1个工作日,2.0,1.0,5
厦门市,就业创业,司法鉴定人执业类别变更初审,个人,厦门市司法局,1个工作日,2.0,1.0,5
厦门市,就业创业,司法鉴定人执业机构变更（跨设区市变更执业机构为初审）,个人,厦门市司法局,1个工作日,2.0,1.0,5
厦门市,就业创业,司法鉴定人注销,个人,厦门市司法局,1个工作日,2.0,1.0,5
厦门市,就业创业,律师执业证注销初审,个人,厦门市司法局,1个工作日,2.0,1.0,5
厦门市,就业创业,首次申领公职律师工作证初审,个人,厦门市司法局,7个工作日,2.0,1.0,5
厦门市,就业创业,重新申领公职律师工作证初审,个人,厦门市司法局,7个工作日,2.0,1.0,5
厦门市,就业创业,首次申领公司律师工作证初审,个人,厦门市司法局,7个工作日,2.0,1.0,5
厦门市,就业创业,重新申领公司律师工作证初审,个人,厦门市司法局,7个工作日,2.0,1.0,5
厦门市,就业创业,公证员任职转报,个人,厦门市司法局,7个工作日,2.0,1.0,5
厦门市,就业创业,公证员免职转报,个人,厦门市司法局,7个工作日,2.0,0.0,5
厦门市,就业创业,公证员执业证书损毁或遗失的换发或补发,个人,厦门市司法局,3个工作日,2.0,1.0,5
厦门市,行政缴费,厦门市城镇房屋权属登记查询,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,1.0,1.0,3
厦门市,行政缴费,直管公房非住宅转租核准,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,4个工作日,1.0,1.0,4
厦门市,行政缴费,厦门市国土房产测绘档案查阅,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,42个小时,2.0,2.0,3
厦门市,行政缴费,直管公房租赁合同管理,"个人,企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,0个工作日,,1.0,4
厦门市,行政缴费,拆迁补偿房屋接收、接管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,5个工作日,,1.0,4
厦门市,行政缴费,直管公房租金管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,,0.0,5
厦门市,行政缴费,土地收益金和房屋转租收益金减免审批,"个人,企业",厦门市国土资源与房产管理局,10个工作日,2.0,2.0,3
厦门市,行政缴费,直管公房维修管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,0.0,5
厦门市,行政缴费,房屋代管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,1.0,4
厦门市,社会保障,社会保障卡交易密码设立、变更办理,个人,厦门市社会保险管理中心,0个工作日,,0.0,5
厦门市,社会保障,拆迁补偿房屋接收、接管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,5个工作日,,1.0,4
厦门市,社会保障,工伤职工停工留薪期（延长）确认,个人,厦门市社会保险管理中心,21个自然日,,3.0,3
厦门市,社会保障,工伤职工劳动能力复查鉴定,个人,厦门市社会保险管理中心,21个自然日,,2.0,3
厦门市,社会保障,工伤职工康复治疗确认,个人,厦门市社会保险管理中心,21个自然日,,2.0,3
厦门市,社会保障,工伤保险待遇核发,"个人,企业",厦门市社会保险管理中心,8个工作日,,1.0,4
厦门市,社会保障,厦门市城镇房屋权属登记查询,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,1.0,1.0,3
厦门市,社会保障,企业参保人员退休资格核定,个人,厦门市社会保险管理中心,12个工作日,,1.0,4
厦门市,社会保障,企业参保人员退休待遇标准核定,个人,厦门市社会保险管理中心,0个工作日,,0.0,5
厦门市,社会保障,申领企业离退休（遗属）人员死亡丧葬费,个人,厦门市社会保险管理中心,0个工作日,,1.0,4
厦门市,社会保障,工伤职工医疗依赖确认,个人,厦门市社会保险管理中心,21个自然日,,2.0,3
厦门市,社会保障,工伤职工劳动能力等级鉴定,个人,厦门市社会保险管理中心,21个自然日,,2.0,3
厦门市,社会保障,工伤职工配置辅助器具确认,个人,厦门市社会保险管理中心,21个自然日,,2.0,3
厦门市,社会保障,工伤职工旧伤复发确认,个人,厦门市社会保险管理中心,21个自然日,,2.0,3
厦门市,社会保障,基本养老保险费政策性补缴,个人,厦门市社会保险管理中心,0个工作日,,1.0,4
厦门市,社会保障,因病或非工伤死亡职工、工伤死亡职工供养亲属领取抚恤金劳动能力鉴定,个人,厦门市社会保险管理中心,21个自然日,,2.0,3
厦门市,社会保障,因病或非工伤职工办理退休（退职）劳动能力鉴定,个人,厦门市社会保险管理中心,21个自然日,,2.0,3
厦门市,社会保障,迁入（调入）人员超龄补缴,个人,厦门市社会保险管理中心,0个工作日,,1.0,4
厦门市,社会保障,健康综合账户家庭共济网办理,个人,厦门市医疗保障管理局,0个工作日,,1.0,4
厦门市,社会保障,首次参保在校生的社会保障卡办理,个人,厦门市社会保险管理中心,16个工作日,,1.0,4
厦门市,社会保障,直管公房非住宅转租核准,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,4个工作日,1.0,1.0,4
厦门市,社会保障,设立民办技工学校--设立,"个人,企业,事业单位,民办非企业单位,社团组织,其他组织",厦门市人力资源和社会保障局,10个工作日,0.0,0.0,4
厦门市,社会保障,工伤认定,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市人力资源和社会保障局,60个自然日,2.0,2.0,3
厦门市,社会保障,厦门市国土房产测绘档案查阅,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,42个小时,2.0,2.0,3
厦门市,社会保障,异地企业职工基本养老保险关系转入,个人,厦门市社会保险管理中心,5个工作日,,1.0,4
厦门市,社会保障,工伤职工生活自理障碍等级鉴定,个人,厦门市社会保险管理中心,21个自然日,,2.0,3
厦门市,社会保障,本市户口失业人员申领失业保险金,个人,厦门市社会保险管理中心,0个工作日,,0.0,5
厦门市,社会保障,首次参保新生儿的社会保障卡办理,个人,厦门市社会保险管理中心,0个工作日,1.0,1.0,4
厦门市,社会保障,计划生育项目生育保险待遇审核给付,个人,厦门市医疗保障管理局,10个工作日,,0.0,5
厦门市,婚姻登记,厦门市城镇房屋权属登记查询,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,1.0,1.0,3
厦门市,社会保障,出国出境定居退付养老保险个人账户基金,个人,厦门市社会保险管理中心,7个工作日,,1.0,4
厦门市,婚姻登记,直管公房非住宅转租核准,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,4个工作日,1.0,1.0,4
厦门市,社会保障,社会保障卡挂失、更换办理,个人,厦门市社会保险管理中心,0个工作日,,1.0,4
厦门市,婚姻登记,离婚登记（涉外国人，涉港、澳、台、华侨人员）,个人,厦门市民政局,0个工作日,,1.0,4
厦门市,社会保障,外地户口失业人员申领一次性生活补助金,个人,厦门市社会保险管理中心,0个工作日,,0.0,5
厦门市,婚姻登记,厦门市国土房产测绘档案查阅,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,42个小时,2.0,2.0,3
厦门市,社会保障,本市户口女性失业人员申领生育补助金,个人,厦门市社会保险管理中心,0个工作日,,1.0,4
厦门市,婚姻登记,结婚登记（涉外国人，涉港、澳、台、华侨人员）,个人,厦门市民政局,0个工作日,1.0,1.0,4
厦门市,社会保障,本市户口失业人员的继承人申领丧葬补助金和抚恤金,个人,厦门市社会保险管理中心,0个工作日,,1.0,4
厦门市,婚姻登记,补发婚姻登记证（涉外，涉港、澳、台、华侨人员）,个人,厦门市民政局,0个工作日,1.0,1.0,4
厦门市,社会保障,分娩项目生育保险待遇审核给付,"个人,企业",厦门市医疗保障管理局,10个工作日,,1.0,4
厦门市,婚姻登记,拆迁补偿房屋接收、接管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,5个工作日,,1.0,4
厦门市,社会保障,补缴2004年5月前养老、工伤、失业社会保险费,个人,厦门市社会保险管理中心,0个工作日,,1.0,4
厦门市,婚姻登记,撤销受胁迫的婚姻（涉外，涉港、澳、台、华侨人员）,个人,厦门市民政局,0个工作日,1.0,1.0,4
厦门市,社会保障,参保人员医疗费用报销,个人,厦门市医疗保障管理局,12个工作日,,1.0,4
厦门市,婚姻登记,婚姻登记档案查询（涉港澳台，华侨及外国人）,个人,厦门市民政局,0个工作日,1.0,1.0,4
厦门市,社会保障,外籍或台港澳离境退付养老保险个人账户基金,个人,厦门市社会保险管理中心,7个工作日,,1.0,4
厦门市,婚姻登记,直管公房租赁合同管理,"个人,企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,0个工作日,,1.0,4
厦门市,社会保障,退休人员社会化管理服务,个人,厦门市企业离退休人员社会化管理中心,15个工作日,1.0,0.0,5
厦门市,婚姻登记,房屋代管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,1.0,4
厦门市,社会保障,养老保险个人账户基金继承,个人,厦门市社会保险管理中心,7个工作日,,1.0,4
厦门市,婚姻登记,直管公房租金管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,,0.0,5
厦门市,社会保障,随军配偶部队养老保险关系转入,个人,厦门市社会保险管理中心,5个工作日,,1.0,4
厦门市,婚姻登记,直管公房维修管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,0.0,5
厦门市,社会保障,本地企业职工基本养老保险关系转出,个人,厦门市社会保险管理中心,5个工作日,,1.0,4
厦门市,婚姻登记,出具婚姻登记记录证明（涉港澳台，华侨及外国人）,个人,厦门市民政局,0个工作日,1.0,1.0,4
厦门市,社会保障,厦门市职业技能培训补贴,"个人,企业,事业单位,其他组织",厦门市人力资源和社会保障局,7个工作日,,1.0,4
厦门市,社会保障,直管公房租赁合同管理,"个人,企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,0个工作日,,1.0,4
厦门市,社会保障,外籍或台港澳离境退付个人医疗账户基金,个人,厦门市医疗保障管理局,7个工作日,,1.0,4
厦门市,社会保障,出国出境定居退付个人医疗账户基金,个人,厦门市医疗保障管理局,7个工作日,,1.0,4
厦门市,社会保障,异地医疗、生育保险关系转入,个人,厦门市医疗保障管理局,5个工作日,,1.0,4
厦门市,社会保障,退休人员医保在职转退休,个人,厦门市医疗保障管理局,5个工作日,,2.0,3
厦门市,社会保障,本市医疗、生育保险关系转出,个人,厦门市医疗保障管理局,5个工作日,,1.0,4
厦门市,社会保障,补缴2004年5月前的医疗保险费（不含5月）,个人,厦门市医疗保障管理局,7个工作日,,1.0,4
厦门市,社会保障,个人医疗账户基金继承,个人,厦门市医疗保障管理局,7个工作日,,1.0,4
厦门市,社会保障,房屋代管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,1.0,4
厦门市,社会保障,直管公房租金管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,,0.0,5
厦门市,社会保障,直管公房维修管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,0.0,5
厦门市,社会保障,异地工作、居住医疗保险报备办理,个人,厦门市医疗保障管理局,0个工作日,,1.0,4
厦门市,医疗卫生,厦门市城镇房屋权属登记查询,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,1.0,1.0,3
厦门市,医疗卫生,拆迁补偿房屋接收、接管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,5个工作日,,1.0,4
厦门市,医疗卫生,直管公房非住宅转租核准,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,4个工作日,1.0,1.0,4
厦门市,医疗卫生,厦门市国土房产测绘档案查阅,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,42个小时,2.0,2.0,3
厦门市,医疗卫生,参保人员医疗费用报销,个人,厦门市医疗保障管理局,12个工作日,,1.0,4
厦门市,医疗卫生,直管公房租赁合同管理,"个人,企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,0个工作日,,1.0,4
厦门市,医疗卫生,外籍或台港澳离境退付个人医疗账户基金,个人,厦门市医疗保障管理局,7个工作日,,1.0,4
厦门市,医疗卫生,出国出境定居退付个人医疗账户基金,个人,厦门市医疗保障管理局,7个工作日,,1.0,4
厦门市,医疗卫生,异地医疗、生育保险关系转入,个人,厦门市医疗保障管理局,5个工作日,,1.0,4
厦门市,医疗卫生,本市医疗、生育保险关系转出,个人,厦门市医疗保障管理局,5个工作日,,1.0,4
厦门市,医疗卫生,补缴2004年5月前的医疗保险费（不含5月）,个人,厦门市医疗保障管理局,7个工作日,,1.0,4
厦门市,医疗卫生,个人医疗账户基金继承,个人,厦门市医疗保障管理局,7个工作日,,1.0,4
厦门市,医疗卫生,房屋代管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,1.0,4
厦门市,医疗卫生,直管公房租金管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,,0.0,5
厦门市,医疗卫生,直管公房维修管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,0.0,5
厦门市,医疗卫生,工伤职工医疗依赖确认,个人,厦门市社会保险管理中心,21个自然日,,2.0,3
厦门市,出境入境,厦门市城镇房屋权属登记查询,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,1.0,1.0,3
厦门市,出境入境,直管公房非住宅转租核准,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,4个工作日,1.0,1.0,4
厦门市,出境入境,厦门市国土房产测绘档案查阅,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,42个小时,2.0,2.0,3
厦门市,出境入境,出国出境定居退付养老保险个人账户基金,个人,厦门市社会保险管理中心,7个工作日,,1.0,4
厦门市,出境入境,外籍或台港澳离境退付养老保险个人账户基金,个人,厦门市社会保险管理中心,7个工作日,,1.0,4
厦门市,出境入境,拆迁补偿房屋接收、接管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,5个工作日,,1.0,4
厦门市,出境入境,直管公房租赁合同管理,"个人,企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,0个工作日,,1.0,4
厦门市,出境入境,房屋代管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,,1.0,4
