area,topic,servicename,foruser,deptname,promiseday,ckcs,wscs,starprorepty
厦门市,设立变更,《台港澳人员就业证》注销、变更、补发,"企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市人力资源和社会保障局,0个工作日,1.0,1.0,4
厦门市,年检年审,建筑节能材料认定,企业,厦门市建设局,7个工作日,1.0,1.0,4
厦门市,年检年审,新型墙体材料专项基金返还,企业,厦门市建设局,7个工作日,1.0,1.0,4
厦门市,设立变更,典当行变更审批,企业,厦门市金融工作办公室,7个工作日,1.0,,3
厦门市,年检年审,单位提取已售公有住房住宅专项维修资金审核,"企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,8个工作日,1.0,1.0,4
厦门市,设立变更,外资企业集团登记,企业,厦门市市场监督管理局,3个工作日,1.0,1.0,4
厦门市,年检年审,邀请招标及特殊情况下不进行施工招标审批,企业,厦门市建设局,5个工作日,1.0,1.0,4
厦门市,设立变更,外商投资企业分支机构设立、变更、注销登记,企业,厦门市市场监督管理局,3个工作日,2.0,2.0,3
厦门市,年检年审,新型墙体材料认定,企业,厦门市建设局,7个工作日,1.0,1.0,4
厦门市,年检年审,厦门市国土房产测绘档案查阅,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,42个小时,2.0,2.0,3
厦门市,设立变更,内资商事主体迁移,企业,厦门市市场监督管理局,0个工作日,1.0,1.0,4
厦门市,年检年审,外国企业常驻代表机构年度报告,企业,厦门市市场监督管理局,0个工作日,1.0,1.0,4
厦门市,设立变更,外国（地区）企业在中国境内从事生产经营活动设立、变更、注销登记,企业,厦门市市场监督管理局,3个工作日,2.0,2.0,3
厦门市,年检年审,供水单位卫生许可（延续）,企业,厦门市卫生和计划生育委员会,5个工作日,1.0,1.0,4
厦门市,设立变更,外商投资合伙企业分支机构设立、变更、注销登记,企业,厦门市市场监督管理局,3个工作日,2.0,2.0,3
厦门市,年检年审,防伪技术产品使用备案,"企业,其他组织",厦门市质量技术监督局,0个工作日,0.0,1.0,5
厦门市,设立变更,消毒产品生产企业卫生许可（变更）,"个人,企业",厦门市卫生和计划生育委员会,7个工作日,1.0,1.0,4
厦门市,年检年审,认证活动（包含认证机构资质）的备案,"企业,其他组织",厦门市质量技术监督局,0个工作日,0.0,1.0,5
厦门市,设立变更,内资商事主体申请增（减）、补、换发营业执照/登记证,企业,厦门市市场监督管理局,0个工作日,1.0,1.0,4
厦门市,年检年审,受检产品登记备案,"企业,其他组织",厦门市质量技术监督局,0个工作日,0.0,1.0,5
厦门市,年检年审,房地产开发企业暂定级、四级、三级房地产开发企业资质审批和资质证书内容变更,企业,厦门市建设局,7个工作日,0.0,,5
厦门市,设立变更,小额贷款公司开业申请,企业,厦门市金融工作办公室,7个工作日,1.0,,3
厦门市,年检年审,市级地方性基金会的监督检查,"个人,其他组织",厦门市民政局,7个工作日,1.0,1.0,4
厦门市,设立变更,内资企业申请授权属地登记,企业,厦门市市场监督管理局,0个工作日,1.0,1.0,4
厦门市,年检年审,机动车检验合格标志核发,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市公安局,0个工作日,,1.0,1
厦门市,设立变更,内资公司股权出质登记,企业,厦门市市场监督管理局,0个工作日,1.0,1.0,4
厦门市,年检年审,计量标准器具核准,"企业,其他组织",厦门市质量技术监督局,7个工作日,1.0,1.0,4
厦门市,设立变更,外商投资合伙企业设立、变更、注销登记,企业,厦门市市场监督管理局,3个工作日,2.0,2.0,3
厦门市,年检年审,特种设备修理单位资格许可[锅炉；压力容器（不含气瓶）；电梯；起重机械；客运索道；大型游乐设施；场（厂）内专用机动车辆],"企业,其他组织",厦门市质量技术监督局,10个工作日,0.0,1.0,5
厦门市,设立变更,融资性担保机构及分支机构设立审批,企业,厦门市金融工作办公室,7个工作日,1.0,,3
厦门市,年检年审,承担国家法定计量检定机构任务授权,"企业,其他组织",厦门市质量技术监督局,7个工作日,0.0,1.0,5
厦门市,设立变更,外国（地区）企业常驻代表机构设立、变更、注销登记,企业,厦门市市场监督管理局,3个工作日,2.0,2.0,3
厦门市,年检年审,房屋建筑工程和市政基础设施工程竣工验收备案,企业,厦门市建设局,5个工作日,1.0,1.0,4
厦门市,设立变更,内资商事主体登记管理事务备案,企业,厦门市市场监督管理局,3个工作日,1.0,1.0,4
厦门市,年检年审,出具质量违法行为证明,企业,厦门市质量技术监督局,0个工作日,0.0,1.0,5
厦门市,设立变更,典当行终止审批,企业,厦门市金融工作办公室,7个工作日,1.0,,3
厦门市,年检年审,直管公房租赁合同管理,"个人,企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,0个工作日,1.0,,4
厦门市,设立变更,公共场所卫生许可（注销）,企业,厦门市卫生和计划生育委员会,7个工作日,1.0,2.0,4
厦门市,年检年审,房屋代管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,1.0,,4
厦门市,设立变更,供水单位卫生许可（变更）,企业,厦门市卫生和计划生育委员会,5个工作日,1.0,1.0,4
厦门市,年检年审,直管公房租金管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,0.0,,5
厦门市,设立变更,房地产开发企业暂定级、四级、三级房地产开发企业资质审批和资质证书内容变更,企业,厦门市建设局,7个工作日,0.0,,5
厦门市,年检年审,设区市级民族宗教团体年度检查的初审,社团组织,厦门市民族与宗教事务局,7个工作日,1.0,1.0,4
厦门市,设立变更,内资非公司企业法人开业、变更、注销登记,企业,厦门市市场监督管理局,3个工作日,2.0,2.0,3
厦门市,年检年审,直管公房维修管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,0.0,,5
厦门市,设立变更,市级基金会开立临时存款账户申请,"个人,企业,事业单位,民办非企业单位,社团组织,其他组织",厦门市民政局,0个工作日,1.0,1.0,4
厦门市,年检年审,设立民办技工学校审批--学校期限期限延续审批,民办非企业单位,厦门市人力资源和社会保障局,0个工作日,0.0,0.0,4
厦门市,设立变更,养老机构变更许可,"个人,企业,民办非企业单位,其他组织",厦门市民政局,6个工作日,1.0,1.0,3
厦门市,设立变更,保健食品生产许可（新办）,企业,厦门市市场监督管理局,10个工作日,2.0,2.0,3
厦门市,设立变更,旅行社分支机构备案登记,企业,厦门市旅游发展委员会,7个工作日,0.0,,5
厦门市,设立变更,市级非公募基金会设立登记,"个人,企业,事业单位,民办非企业单位,社团组织,其他组织",厦门市民政局,10个工作日,1.0,1.0,3
厦门市,设立变更,市级非公募基金会变更登记和修改章程核准,"个人,其他组织",厦门市民政局,1个工作日,1.0,1.0,4
厦门市,设立变更,小额贷款公司变更审批,企业,厦门火炬高技术产业开发区管理委员会,7个工作日,0.0,,5
厦门市,设立变更,房屋建筑工程和市政基础设施工程竣工验收备案,企业,厦门市建设局,5个工作日,1.0,1.0,4
厦门市,设立变更,出具质量违法行为证明,企业,厦门市质量技术监督局,0个工作日,0.0,1.0,5
厦门市,设立变更,拍卖企业登记项目变更备案,企业,厦门市商务局,0个工作日,1.0,1.0,4
厦门市,设立变更,保健食品生产许可（注销）,企业,厦门市市场监督管理局,10个工作日,1.0,1.0,4
厦门市,设立变更,小额贷款公司筹建初审,企业,厦门火炬高技术产业开发区管理委员会,7个工作日,0.0,,5
厦门市,设立变更,小额贷款公司变更、终止初审,企业,厦门火炬高技术产业开发区管理委员会,7个工作日,0.0,,5
厦门市,设立变更,保健食品生产许可（变更）,企业,厦门市市场监督管理局,10个工作日,2.0,2.0,3
厦门市,设立变更,小额贷款公司开业初审,企业,厦门火炬高技术产业开发区管理委员会,7个工作日,0.0,,5
厦门市,设立变更,《广播电视节目制作经营许可证》登记事项变更的审核,企业,厦门市文化广电新闻出版局,7个工作日,1.0,1.0,4
厦门市,设立变更,食品（食品添加剂）生产许可证变更（一般变更）(限大米、其它粮食加工品、味精、蔬菜干制品的分装)（告知承诺制）,企业,厦门市市场监督管理局,4个工作日,1.0,1.0,4
厦门市,设立变更,港澳台地区文艺表演团体、个人参加的营业性演出增加演出地备案,"企业,其他组织",厦门市文化广电新闻出版局,7个工作日,1.0,,4
厦门市,设立变更,内资电影放映单位变更地址备案,企业,厦门市文化广电新闻出版局,7个工作日,1.0,1.0,4
厦门市,设立变更,内资演出经纪机构设立审批,"企业,其他组织",厦门市文化广电新闻出版局,7个工作日,1.0,,4
厦门市,设立变更,外国文艺表演团体、个人参加的营业性演出事项变更审批（歌舞娱乐场所类）,企业,厦门市文化广电新闻出版局,7个工作日,1.0,,4
厦门市,设立变更,内资电影放映单位变更法定代表人备案,企业,厦门市文化广电新闻出版局,7个工作日,1.0,1.0,4
厦门市,设立变更,市级社会团体开立临时存款账户申请,"个人,企业,事业单位,社团组织",厦门市民政局,0个工作日,1.0,1.0,4
厦门市,设立变更,公共场所卫生许可延续（审批改备案）,企业,厦门市卫生和计划生育委员会,7个工作日,1.0,2.0,4
厦门市,设立变更,公共场所卫生许可变更（审批改备案）,企业,厦门市卫生和计划生育委员会,7个工作日,1.0,2.0,4
厦门市,税收财务,厦门市城镇房屋权属登记查询,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,1.0,1.0,3
厦门市,设立变更,高新区内企业变更经营场所的核准,"企业,其他组织",厦门火炬高技术产业开发区管委会,5个工作日,0.0,,5
厦门市,税收财务,直管公房非住宅转租核准,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,4个工作日,1.0,1.0,4
厦门市,设立变更,直管公房租赁合同管理,"个人,企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,0个工作日,1.0,,4
厦门市,税收财务,单位提取已售公有住房住宅专项维修资金审核,"企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,8个工作日,1.0,1.0,4
厦门市,设立变更,会计师事务所设立审批（简化优化审批流程和材料）,企业,厦门市财政局,12个工作日,2.0,2.0,3
厦门市,设立变更,高新区内企业变更经营项目的核准,"企业,其他组织",厦门火炬高技术产业开发区管委会,5个工作日,0.0,,5
厦门市,税收财务,厦门市国土房产测绘档案查阅,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,42个小时,2.0,2.0,3
厦门市,设立变更,会计师事务所分所设立审批（简化优化审批流程和材料）,企业,厦门市财政局,8个工作日,2.0,2.0,3
厦门市,税收财务,拆迁补偿房屋接收、接管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,5个工作日,1.0,,4
厦门市,税收财务,直管公房租赁合同管理,"个人,企业,事业单位,行政机关,社团组织",厦门市国土资源与房产管理局,0个工作日,1.0,,4
厦门市,设立变更,市级民办非企业单位名称的核准登记（开立临时存款账户申请）,"个人,企业,事业单位,其他组织",厦门市民政局,3个工作日,1.0,1.0,4
厦门市,税收财务,房屋代管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,1.0,,4
厦门市,设立变更,食品（食品添加剂）生产许可证核发(限大米、其它粮食加工品、味精、蔬菜干制品的分装)（告知承诺制）,企业,厦门市市场监督管理局,4个工作日,1.0,1.0,4
厦门市,设立变更,会计师事务所变更名称、办公场所（在省级行政区划内）、主任会计师、注册资本，分所变更名称、办公场所、负责人(更换新证）,企业,厦门市自贸区管委会,2个工作日,1.0,1.0,4
厦门市,税收财务,直管公房租金管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,0.0,,5
厦门市,设立变更,房屋代管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,1.0,,4
厦门市,税收财务,直管公房维修管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,0.0,,5
厦门市,设立变更,直管公房租金管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,0个工作日,0.0,,5
厦门市,税收财务,公益性捐赠税前扣除资格认定（群团）,社团组织,厦门市财政局,7个工作日,1.0,,4
厦门市,设立变更,设区市级民族宗教团体成立前审查,社团组织,厦门市民族与宗教事务局,7个工作日,1.0,1.0,4
厦门市,设立变更,直管公房维修管理,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,10个工作日,0.0,,5
厦门市,设立变更,设区市级民族宗教团体注销前审查,社团组织,厦门市民族与宗教事务局,7个工作日,1.0,1.0,4
厦门市,设立变更,设区市级民族宗教团体变更前审查,社团组织,厦门市民族与宗教事务局,7个工作日,1.0,1.0,4
厦门市,设立变更,拆迁补偿房屋接收、接管,"个人,企业,事业单位,行政机关,民办非企业单位,社团组织,其他组织",厦门市国土资源与房产管理局,5个工作日,1.0,,4
厦门市,设立变更,设立宗教活动场所（寺观教堂）审核,社团组织,厦门市民族与宗教事务局,10个工作日,1.0,1.0,4
厦门市,设立变更,会计师事务所变更股东或合伙人、事务所终止、分所终止(不换新证）,企业,厦门市自贸区管委会,0个工作日,1.0,1.0,4
厦门市,设立变更,2.广播电台、电视台变更台名、呼号的审核,事业单位,厦门市文化广电新闻出版局,7个工作日,1.0,1.0,4
厦门市,设立变更,会计师事务所及分支机构执业许可的审批（会计师事务所执业许可的审批）,企业,厦门市财政局,22个工作日,1.0,,4
厦门市,设立变更,资产评估机构设立备案,企业,厦门市财政局,7个工作日,1.0,,4
厦门市,设立变更,司法鉴定机构及分支机构登记初审,其他组织,厦门市司法局,7个工作日,1.0,2.0,5
厦门市,设立变更,会计师事务所（分所）日常变更（需要更换新证事项）,企业,厦门市财政局,2个工作日,1.0,,4
厦门市,设立变更,会计师事务所（分所）日常变更、执业许可注销（不换新证事项）,企业,厦门市财政局,0个工作日,1.0,,4
厦门市,设立变更,会计师事务所及分支机构执业许可的审批（会计师事务所分支机构执业许可的审批）,企业,厦门市财政局,22个工作日,1.0,1.0,4
厦门市,设立变更,资产评估机构及分支机构的变更和终止（变更、合并或分立、迁移、终止等）,企业,厦门市财政局,7个工作日,1.0,,4
厦门市,设立变更,律师事务所分所设立许可初审,其他组织,厦门市司法局,7个工作日,1.0,2.0,5
厦门市,设立变更,台湾律师事务所驻大陆代表机构设立许可初审,其他组织,厦门市司法局,20个工作日,1.0,2.0,5
厦门市,设立变更,人防工程监理乙级、丙级资质变更登记,企业,厦门市人民防空办公室,0个工作日,1.0,1.0,4
厦门市,设立变更,司法鉴定机构及分支机构执业类别变更初审,其他组织,厦门市司法局,1个工作日,1.0,2.0,5
厦门市,设立变更,中等职业学校设立、变更、终止的审批,企业,厦门市自贸区管理委员会,12个工作日,1.0,1.0,4
厦门市,设立变更,中外合作办学审核、审批,企业,厦门市自贸区管理委员会,12个工作日,1.0,1.0,4
厦门市,设立变更,开办外籍人员子女学校审批,企业,厦门市自贸区管理委员会,8个工作日,1.0,1.0,4
厦门市,设立变更,保安培训单位设立许可,企业,厦门市自贸区管理委员会,7个工作日,1.0,1.0,4
厦门市,设立变更,律师事务所变更名称,其他组织,厦门市司法局,1个工作日,1.0,2.0,5
厦门市,设立变更,保安服务公司设立许可,企业,厦门市自贸区管理委员会,7个工作日,1.0,1.0,4
厦门市,设立变更,律师事务所变更章程,其他组织,厦门市司法局,1个工作日,1.0,2.0,5
厦门市,设立变更,律师事务所变更合伙协议,其他组织,厦门市司法局,1个工作日,1.0,2.0,5
厦门市,设立变更,律师事务所变更负责人,其他组织,厦门市司法局,1个工作日,1.0,2.0,5
厦门市,设立变更,律师事务所变更合伙人,其他组织,厦门市司法局,1个工作日,1.0,2.0,5
