department,submit_t,style,title,content,situation,limit_t,reply_t,reply_c
区总值班室,2018-04-02 15:03:44,建议,21路延伸至岛内东部,建议思明公交将21路从火车站延伸至会展北公交场站。线路走向经原线路后延伸至东浦-文兴隧道-云顶中路-洪莲中路-前埔路-吕岭路-展鸿路-会展北公交场站，以方便岛内东部到西南部的连接。,"您好，您所反映的问题，经了解，该问题属市公交集团职责范围。目前，我班工作人员已将该问题转市公交集团处理，如您需要进一步了解具体情况，您可拨打市公交集团电话（968828）,感谢您的建议。",2018-04-03,2018-04-02 15:19:01,"您好，您所反映的问题，经了解，该问题属市公交集团职责范围。目前，我班工作人员已将该问题转市公交集团处理，如您需要进一步了解具体情况，您可拨打市公交集团电话（968828）,感谢您的建议。"
区公安分局,2018-04-08 10:41:25,咨询,关于幼儿办理身份证问题,本人小孩4周岁，为了出行方便，想给他办理身份证，咨询以下问题：1、在哪办理？（本人户籍地思明区嘉莲辖区）2、怎么办理？（需要携带哪些证件？幼儿本人要去现场吗？）,请根据诉求给予答复,2018-04-11,2018-04-10 16:18:43,您好！针对您所咨询的情况，属我区公安分局职责范围，经与我区公安分局了解，具体情况答复如下：您好！申请条件（一）首次申领：年满16周岁的本市公民应当申办；未满16周岁的本市公民自愿申请办理的，须监护人同时到户籍地公安派出所申领。申请材料（一）首次申领《居民身份证》，应提交的材料：1.未满16周岁的，需提供当事人的《居民户口簿》、监护人的《居民身份证》及监护人的亲属关系证明（福建治安管理信息系统能查询的无需提供）；您所属嘉莲派出所，您需要到嘉莲派出所办理，您与小孩都需要到场，嘉莲派出所电话：5338917。如果您还有其他问题需要咨询，欢迎拨打嘉莲派出所（电话：5338917）。
区市政园林局,2018-03-27 14:21:30,建议,洪莲中路路面问题,洪莲中路目前为水泥路面，隔音效果差，路上的车也是越来越多，路的周边有侨福城、前埔北区、都市新巢、嘉盛等众多居民区，希望能改善下路面，变成沥青路面也好，至少声音会小点，希望能采纳建议,请根据诉求给予答复,2018-03-29,2018-03-27 19:28:03,您好，您反映的问题我区工作人员已受理，感谢您的建议！
莲前党政办,2018-03-27 14:37:23,咨询,洪莲路和蔡岭路交叉口的地块将来是规划做什么用？,洪莲路和蔡岭路交叉口的地块从去年开始就清理完了，请问这块地块的用途是要做什么用呢？,请根据诉求给予答复,2018-03-30,2018-03-30 09:39:23,请以政府公告为准。
莲秀社区居委会,2018-03-27 15:54:37,咨询,嘉莲街道香秀里5号楼何时能升级改造,本人房产位于思明区嘉莲街道香秀里5号楼，该楼建于90年代，目前周边小区都已经完成老旧小区升级改造，请问香秀里5号楼何时能进行老旧小区升级改造呢？,请根据诉求给予答复,2018-03-30,2018-03-29 09:34:18,因该小区产权属于90年代，不属于老旧小区改造范围（老旧小区改造要求产权在1989年12月31日之前），但社区在2017年老旧小区改造摸底时也把香秀里1-16号作为改造项目报送街道，并已多次反映该小区属开放式无物业小区，迫切需要改造。街道回复2018年先改造其他社区符合老旧小区改造范围的小区，该小区改造事宜待定。
区市场监督管理局,2018-03-27 16:54:40,咨询,最新的食品安全制度在哪里下载！,你好，最新的食品安全制度在哪里下载，柜台人员需要最新的食品安全制度，网上又找不到，送件送不了，跑了好多趟了,请根据诉求给予答复,2018-04-02,2018-04-02 11:36:03,您好！食品经营许可证的办事指南可在福建省网上办事大厅下载。食品安全制度由企业自行制定，柜台均有让企业对参考目录进行拍照，您也可参考网上资料或是其他企业制定的制度。
区总值班室,2018-03-22 09:02:03,咨询,请问，在中山路附近哪里停车比较方便？,请问，在中山路附近哪里停车比较方便？,您好，建议根据情况停靠路边规划停车位或就近停靠大型商场地下车库。,2018-03-23,2018-03-22 10:19:59,您好，建议根据情况停靠路边规划停车位或就近停靠大型商场地下车库。
区市政园林局,2018-03-23 09:28:23,建议,关于中山公园的翘翘板,中山公园沙池有一个铁制翘翘板，一边翘起来的高度超过一个正常6岁多小孩的高度，（见图），很多小孩在旁边玩，还会从翘翘板下面穿过，如果有大人稍微不注意的话（可能几秒钟的注意力），当翘翘板落下时，刚好小孩走过时，很多可能砸成重伤甚至死亡，到时政府不但要担责，更重要是一个家庭的毁灭。所以建议撤除这个很有安全隐患的翘翘板，况且中山公园的儿童园那么大，设这个翘翘板意议也不大。,请根据诉求给予答复,2018-03-30,2018-03-29 08:13:19,经现场勘查，为确保安全，信访人所述中山公园儿童岛的翘翘板已拆除。下一步，区市政园林局将考虑是否予以改进、安装等事宜。
区文体出版局,2018-03-28 00:39:09,建议,今年是否举办全民沙滩排球活动？,厦门作为沙排训练基地，今年是否会举办全民沙排比赛活动,请区文体局帮忙解答！,2018-04-02,2018-04-02 10:37:21,今年没有举办。该比赛的受众面比较窄，我们全面健身运动会开展很多受众面较广的运动项目，欢迎报名参加。另外，今年有国际排联世界沙滩排球巡回赛厦门公开赛，于4月18日-4月22日在观音山沙滩举办，欢迎前往参观。
区人社局,2018-02-22 07:00:09,咨询,婴儿办理医保卡咨询,小孩子在厦门出生，不是厦门户口，父母在厦门工作，可以给小孩子办理厦门医保卡吗？若是可以需要什么证件呢？,请区人社局及时予以解答。,2018-02-26,2018-02-23 15:00:30,根据思明区社保中心回复，咨询人已通过街道社区工作人员咨询，并直接电话到我区社保中心咨询，社保中心主任已将相关办理程序告之本人，本人已表示知晓。
区总值班室,2018-03-01 20:48:55,建议,厦门半岛与鼓浪屿之间公交车，的士专用桥梁,建议在厦门半岛海沧修建连接鼓浪屿的大桥，专门提供给公共汽车使用，出租车的士使用专用桥梁。,您好，感谢您对我区政民互动的支持，您的建议将转交规划部门，以作参考。,2018-03-02,2018-03-01 21:55:25,您好，感谢您对我区政民互动的支持，您的建议将转交规划部门，以作参考。
区教育局,2018-03-03 22:53:46,咨询,没有就读幼儿园是否影响小学入学？,您好。我和我爱人因为不是厦门户口，所以孩子不能就读公办幼儿园，从小班至大班上学期读的是私立幼儿园。因为种种因素，大班下学期没有继续上学，因此会拿不到幼儿园的离园证。请问，我小孩的其他各种条件均符合积分入学要求，如果积分足够且被公办小学录取，报名时是否会因为没有幼儿园离园证而被拒收退学呢？,请区教育局帮忙解答并及时反馈！,2018-03-07,2018-03-05 11:17:12,您好，不影响孩子小学入学。已电话联系当事人并回复问题。
滨海党政办,2018-03-04 09:37:35,投诉,曾厝垵西里小区居民的困扰,厦门市思明区曾厝垵西里小区的环境报告及投诉，希望政府能切实地帮帮我们这个小区的居民。,请根据诉求给予答复,2018-03-07,2018-03-05 14:45:50,"曾厝垵社区已经处理，该小区今年已筹备成立业主委员会,目前在报建设局批准中；业委会成立后将引进物业公司进行小区日常管理，同时该小区已纳入今年老旧小区改造，小区的各方面问题将得到有效管理。值班室也要求曾厝垵社区在小区楼道张贴告知书，告知小区目前情况，并呼吁居民在未引进物业管理前做好自我约束，共同维护小区生活秩序。"
区科信局,2018-03-05 09:56:42,咨询,2017年获得的小巨人领军企业思明科信局补助什么时候办理,2017年获得的小巨人领军企业思明科信局补助什么时候办理,请区科信局及时与反映人联系并帮忙解答。,2018-03-08,2018-03-05 10:43:52,根据《思明区质量技术专项奖励资金管理办法》要求，我局每年一季度会制定当年度的申报指南。2017年度科技小巨人领军企业补助申报时间将根据申报指南要求，在思明区政府网科信局专栏中公布，申报时间以通知为准，另行通知。
区市政园林局,2018-03-05 11:47:21,建议,谊爱路一侧绿化带简陋问题还未解决,谊爱路一侧绿化带无行道树与景观灯，过于简陋，夏季将至，无遮荫树木，出行炎热，望在夏季来临前尽快解决，谢谢,请区市政园林局及时到场核实处理，并反馈处置情况。,2018-03-09,2018-03-09 14:47:36,经现场勘查，该路段长度约180米，人行道偏窄无空间种植行道树。区市政园林局将在绿地靠人行道一侧种植约20余株大叶榕，预计于本月底完成。
区建设局,2018-03-08 09:08:38,咨询,老旧小区改造,建设局的领导：您好！请问2018年思明区老旧小区改造都有哪些小区,请根据诉求做出答复,2018-03-13,2018-03-12 17:18:27,您好，根据各街道汇总上报，我区2018年老旧小区改造涉及鹭江街道、中华街道、厦港街道、开元街道、筼筜街道、梧村街道、嘉莲街道、莲前街道等八个街道共136个（栋）小区。因小区数量较多，限于篇幅不便逐个列出，具体您可向所在街道或区建设服务中心咨询了解。
区公安分局,2018-03-09 10:53:03,咨询,父母投靠子女落户,请问子女户口在岛内集体户，但父母房产在岛外，子女名下无房，子女独生，父母满退休年龄，子女户口满5年，父母投靠子女落户应当投靠在岛内集体户还是岛外房子？,请及时给予答复。,2018-03-13,2018-03-09 11:23:43,"您好，子女需拥有产权才能投靠。父母投靠成年子女落户须知一、办理条件1.将户口迁入思明区、湖里区的，需子（女）一方登记为本市户籍人口时间满五周年且父母结婚登记时间满五周年，父母复婚的以复婚登记时间作为夫妻婚姻关系存续时限的起算点。2.将户口迁入集美区、海沧区、同安区、翔安区的，需子（女）一方登记为本市户籍人口时间满三周年且父母结婚登记时间满三周年。父母复婚的以复婚登记时间作为夫妻婚姻关系存续时限的起算点。3.被投靠子女属独生子女且在厦拥有《厦门市土地房屋产权证》（房屋用途为住宅，且所有权份额所占比例不得低于50%）；4.父母年龄要求，男年满60周岁，女年满55周岁；5.岛外海沧区、集美区、同安区、翔安区因夫妻投靠移入岛内思明区或湖里区的，与市外迁入的结婚和来厦落户年限要求一致。二、所需材料1．《申请入户登记表》一式2份;2.父母双方的《居民户口簿》、《居民身份证》和《结婚证》。3.在厦子女的《居民户口簿》、《居民身份证》和《厦门市土地房屋产权证》；4.拟落户地街道计生部门出具的《计划生育情况审核意见表》；5.在厦子女与父母的关系证明（由父母户口所在地公安派出所出具并盖户口专用章）、公证机关出具的亲属关系公证书或亲子鉴定；以上材料需原件和复印件（A4规格）1套。三、办理程序1.父母户口从本市岛外移入岛内,申请人持上述所需材料原件和1套复印件，向户口所在地派出所申请（隶属思明区的，除大学路派出所外到思明公安分局办证大厅申请；隶属同安分局大同派出所、祥平派出所辖区的到同安区行政服务中心申请），由派出所核准。2.父母户口从市外迁入本市，申请人持上述所需材料原件和1套复印件，向户口所在地公安分局户政办证大厅或市(区)行政服务中心户籍窗口申请（落户思明区、湖里区到市行政服务中心申请），经核准后，签发户口准迁凭证。省内实行网上户口迁移,公安机关不再开具《户口迁移证》和《户口准予迁入证明》。3.经核准迁（移）入人员，凭准迁凭证到原户口所在地派出所将户口迁（移）出后，到拟落户地派出所办理落户（原户口所在地在省内的持准迁凭证到拟落户地派出所办理落户）。拟落户地隶属思明区的(除大学路派出所外)，在思明分局办理落户。对证件材料齐全的，户籍民警应当场受理并开具受理回执单。四、办理时限本市岛外户口移入岛内,派出所五个工作日完成调查核准工作;市外户口迁入本市，公安分局或市行政服务中心五个工作日办结，并签发户口准迁凭证。"
区人社局,2018-03-12 15:50:33,咨询,哪个部门能打印职工参加社会保险花名册（工伤）？,因为公司业务需要办理厂区入厂通行证，需要提供职工参加社会保险花名册（工伤）。去了思明区行政服务中心问了4层的地税和1层的社保局劳动保障大厅，他们都表示不知道怎么开这个表格也盖不了这种章，去了长青路的劳动力大厦，他们也办不了。请问我该去哪打印这个职工参加社会保险花名册（工伤）？,请区人社局帮忙解答！,2018-03-15,2018-03-13 10:58:03,经思明区社保中心调查确认，厦门市社会保险征收工作由地税部门负责，职工参加社会保险相关事宜需到地税部门查询，如有需要，可拨打地税咨询电话12366.
区总值班室,2018-03-13 08:25:48,建议,小摊贩与城管问题,亲爱的审阅人：你好！厦门是一个包容从城市，但是在软二上班的我频频看到小摊贩拖着赚钱户口工具仓皇逃离平日摆摊地点的情景。我知道，出现这种情况的原因大部分是由于摊贩主们违规占道，而执法人员无奈之举，经常路过上班的人也身处道路被占，行走之困。但是，堵不如疏。在公共道路被占用与小摊贩生存之间，我们厦门是否可以多规划一些类似软二南门的那种合法的摊贩经验场地？不仅造福赶着上班饥肠辘辘买早餐的上班族，也是为务工人员一个共包容的厦门，让美丽的鹭岛更具人情味。恕我冒昧，对其他情况不是更了解就为此提出不成熟的建议。愿所有来自厦门和不来自厦门的人，都为深爱的城市尽绵薄之力，祝愿美丽的鹭岛更加动人。感谢您的阅读！,感谢您的建议，您的建议将会转交我区规划部门作为参考。,2018-03-15,2018-03-13 08:46:56,感谢您的建议，您的建议将会转交我区规划部门作为参考。
区城市管理行政执法局,2018-03-13 14:26:16,投诉,思明区汇文路城市花园的动心健身休息时间噪音扰民,思明区汇文路城市花园的动心健身在休息时间（中午13：00-14:00）超级大的噪音扰民！一天到晚不管是不是休息时间段都在放乱七八糟的噪音扰民！投诉多次无果。110投诉根本没用。请求政府领导考虑一下周边住户及其他附近办公楼的员工，休息已经严重受影响！,请区执法局及时调查处理，并反馈处置情况。,2018-03-16,2018-03-16 09:56:13,我局梧村中队执法人员已到现场进行劝导纠正。
鸿山社区居委会,2018-03-15 00:33:50,建议,鸿***停车难,鸿山新*为成功大道反迁安置房项目，目前鸿山新*停车位远远无法满足小区住户需求，小区停车位配比完全不足。目前小区住户只能将车辆停放在周边道路上，一是建议协调物业重新调查归集小区内车位停放，优先小区业主的车辆满足停放要求。二是尽快提出方案解决小区停车难问题。,请根据诉求给予答复并反馈至平台,2018-03-20,2018-03-16 10:29:15,鸿山新村安置房小区有640户，几乎每户都有车，有的甚至2部，3部，小区比较规范停车位50多个，边边角角的停车位十几个，远远不能满足小区的居民。社区联系世纪中心，世纪中心愿意提供部分车位，无固定，周末及晚上停放，每月缴费600元人民币。
区教育局,2018-03-15 10:53:00,咨询,瑞景商业广场70年住宅能否读书？,本人17年购买瑞景商业广场的房子，这个产权是70年住宅，面积在24.53平，请问能否就读瑞景小学外国语？,请根据诉求给予答复,2018-03-21,2018-03-21 10:56:43,根据市、区两级教育主管部门2017年的文件，入读瑞景小学需符合“两一致”，即实际居住地与户口所在地一致；父或母一方的户口与孩子同册。也就是说，您的孩子户口必须落户在这套房子，而且要实际居住在这套房子内，才可入读瑞景小学。
区总值班室,2018-02-07 15:23:25,咨询,关于前埔健身公园停车场的建设情况咨询,你好，2016年做为为民办实事工程，建设前埔健身公园停车场，为何项目迟迟不见动工！,请街道帮忙解答并反馈！,2018-02-12,2018-02-09 10:33:03,您好，经街道及区市政园林局了解，该项目属厦门市市政集团，非我区管辖，您可直接拨打5582900市市政集团进行咨询。
区城市管理行政执法局,2018-02-07 20:04:57,投诉,艺术西区Led灯光扰民,大学路艺术西区大门新安装一个Led屏幕，晚上不关闭，光线太强，严重影响居民休息。,请区执法局及时到场核实处理，并反馈处置情况。,2018-02-13,2018-02-09 09:53:43,我局厦港中队已联系了艺术西区管理处，责令管理处在夜间将LED灯光关闭，避免扰民。
区教育局,2018-02-08 17:02:02,建议,后江小学建设进度,您好，后江小学在2016年12月已得到思明区发改委的批复，在17年2月得到国土局的批示，现在一年过去了，项目迟迟未见动工，是否还存在其他问题，何时可以开建以及预计建成时间？,请区教育局予以解答。,2018-02-12,2018-02-12 10:22:28,我局在2015年启动后江小学项目建设，进行基建前期准备，但项目牵涉到拆迁，存在征拆问题，致使项目进展困难重重，2017年初已完成大部分前期基建手续。后又按照市政府有关建设公共停车库的相关要求，对学校地下空间方案进行优化，现已开始重新办理基建前期手续，争取在2018年动工建设。我局会加快推进，争取早日动工。
厦禾社区居委会,2018-02-12 09:21:28,投诉,梯道口平台滴水问题,禾祥西路12号之一禾祥苑A栋楼梯入口处平台近期一直在滴水，严重影响住户出入，且地板长期湿滑会存在安全隐患。该问题出现原因是A梯502室近期装修时从自家阳台接了一根排水管道到平台所致，该户一用水就会平台就会渗水到地面。因多次向物业反映也未解决，请鹭江街道、厦禾社区能就该问题予以协调，谢谢。,请鹭江街道就该问题予以协调。,2018-02-15,2018-02-12 11:25:23,社区及时跟物业沟通，物业回复并未收到投诉，网格员及物业工作人员前往查看确实存在积水情况，经勘查并非A梯502业主所为，而是公共部分雨棚积水，物业主任表示已跟业委会沟通，并在春节后会整改。
区总值班室,2018-02-12 10:43:29,咨询,咨询关于酒店禁设禁办的条款,我公司规划做酒店，想咨询政府有没有关于酒店区域禁办或者类型禁办的条件,您好，因您所述问题较为宽泛，如涉及公安方面您可咨询5302911，涉及市场监督管理局方面您可咨询5814390获得详细解答。,2018-02-15,2018-02-12 10:58:57,您好，因您所述问题较为宽泛，如涉及公安方面您可咨询5302911，涉及市场监督管理局方面您可咨询5814390获得详细解答。
