lettertype,title,submit_t,content,reply_p,reply_t,reply_c
咨询,2017上半年教师资格认定,2017/3/23,您好，我看了福建省教师资格证认定所需材料，有如下问题想要咨询：1、我是厦门大学翔安校区在读研究生，请问是在翔安区进行教师资格认定吗？2、户口不在福建省，进行认定的时候还需要出具户口簿原件和复印件吗？还是只出具厦门大学研究生在读证明就可以了？3、还需要出具本科学历证书原件和复印件吗？或者扫描版可以吗？还是只出具研究生在读证明就好？谢谢！,教育局,2017/3/28,
咨询,马巷农村客运站何时投入使用？,2017/4/9,马巷中心小学舫阳分校旁边的马巷农村客运站年前已施工完毕，不知道何时能够投入使用，何时通公交?有几路公交车会在农村客运站停靠？,交通局,2017/4/17,据了解翔安公交公司，目前通往马巷农村客运站的道路较为狭窄，达不到通行大型公交的条件。
咨询,2017年教师资格证认定,2017/4/17,请问下什么时间开启认定通道,教育局,2017/4/20,
投诉,信件无人理会,2017/4/22,"首先投诉--信件编号：L2##########71,查询码：040##57都过了大十几天了无人理会。咨询：请问一下建智能温室大棚是否要申请才不会被执法拆除，要几亩才能申请补贴",农林水利局,2017/4/24,
咨询,请问联合博学园想要成立业主委员会是否找镇政府办理,2017/5/4,镇政府的政民互动无法提交信访内容，故来区政府求助。联合博学园小区如今一期二期三期已经全体交房，并且拥有相当的入住率，但业委会暂未成立，出现一些纠纷或者管理问题的时候，物业有心无力，所以我们认为尽快成立业委会介入会更容易管理，这个小区业主成员多数为教师（洪前小学、海洋学院、厦大翔安校区、南洋学院、华天学院等）、企业高管（酒店、汽车行业高级管理人员）以及高新技术产业人才（软件园、质检等），相信如果促成业主委员会成立，并成为示范点，会对翔安区其他小区的业委会有很好的指导与经验交流作用，但无奈该小区暂未归属任何街道办，故应是直接像镇政府申请成立业委会，但苦于无处了解完整程序和所需材料，进度停滞不前，恳请镇政府相关人员能够给予帮助，共同为创建和谐翔安住宅小区贡献力量！,新店镇,2017/5/31,经了解，关于你反映的“成立业主委员会”的问题，目前新店镇楼盘较多，正在逐步推动小区业主委员会工作，试点成功后将逐步推开。
咨询,新马路,2008/8/12,（新马路）新圩到马巷的路何时开始动工啊,建设局,2008/8/4,新圩至马巷道路工程，由于前期工作手续繁琐，涉及到林地审批与矿产压覆等需到国土环境资源厅办理审批，到今年7月10日手续刚办理妥当。现在正办理农转用地手续及用地红线，等到工程规划许可证办好后，方能进行招投标工作。目前，招标工作手续所需材料也准备网上。预计十月份进行招标。（建设局）
咨询,卫生院职工的工资何时会改善，一个月的文明奖何时会发。,2008/8/12,随着物价的不断增长，卫生院人员的工资几年都不见变动，同安区都已经增加拨款了，我们翔安何时会变动，还有一个月的文明奖财政会拨吗？,财政局,2008/8/18,卫生院人员工资增长问题，我局已通知区卫生局打报告报区领导研究，我区行政事业单位文明奖励拨补问题我局已打报告报区领导批示。（财政局）
咨询,翔安区事业单位公开招聘的一些疑问?,2008/8/15,"本人是厦门市生源,目前在农林大学应届毕业生,学的是资源环境与城乡规划管理.所学专业不知符不符合这次的招聘?还有报名的方式,本人还在福州读书,能否采取网上报名的方式?具体的考试时间/",人劳局,2008/8/20,回复意见：1、请仔细阅读发布在翔安区政府网站上的招聘简章，对照是否有符合您专业的职位；2、只接受现场报名；3、具体考试时间待报名结束后再确定。
咨询,产假，婚假,2008/8/15,政府部门上班的人员。也就是合同工的人员。能享受婚假，产假吗。如果是几天呢？谢谢！！,人劳局,2008/8/19,非在编雇用人员与用人单位签订劳动合同，按照相关规定享受婚假、产假待遇。具体如下：1、婚假：职工结婚，由用人单位给予一至三天的婚假（自主安排）；实行晚婚的，延长婚假到十五天，婚假期间工资照发。2、产假：女职工产假为九十天；难产的，增加产假十五天；多胞胎生育的，每多生育一个婴儿，增加产假十五天。晚育并领取《独生子女父母光荣证》的，女职工产假为一百三十五天至一百八十天，具体天数由用人单位规定。女职工怀孕流产的，根据有从事人工终止妊娠手术资格的医疗保健机构或者计划生育技术服务机构的证明，享有产假。怀孕三个月以内流产的，产假为十五天至三十天；怀孕三个月以上流产的，产假为四十二天。女职工怀孕七个月以上，经本人申请、用人单位批准，可以请产前假。（人劳局）
咨询,薪资？,2008/8/15,"招聘的土地协管员工资按照非在编人员中的工勤岗位标准,即年21###元,并交纳医疗保险、社保、住房公积金。（那社保。住公基金是从21###元里面扣除还是已经帮忙交好了）",国土分局,2008/8/21,包含在这部分里面.（国土分局）年经费应为29000元。（国土分局）
咨询,为何不回复?,2008/8/15,"我前两个月咨询关于翔安青年回本土创业有何优惠及帮扶政策,连续问了三次为何都没见回复呢,请相关部门尽快给予回复为盼!",团委,2008/8/21,对不起，耽误您的时间了。首先非常感谢您回到翔安这片创业热土，我们开展的“翔安青年创业直通车”是由团区委联合区人劳局、区工商局、区信用社、区科技局等七个部门共同举办的创业行动，从已经开始起步创业的翔安青年中，选择创业热情高、公益心强的创业青年，从培训入手，加强分类指导，跟踪协调解决青年创业的生产经营场所、资金等问题，努力降低创业门槛，减少创业成本和风险，营造良好的创业环境。详情请咨询各镇街的团委负责人或各村居的团干，或来团区委领取相关宣传材料。（团委）
咨询,事业单位考试成绩什么时候出来?,2008/8/15,如题,人劳局,2008/8/20,请考生注意留意翔安区政府网站首页的“最新公告”，2008年夏季事业单位考试成绩一经确定，将会第一时间发布在“最新公告”。（人劳局）
咨询,产权变更,2008/8/15,"你好,我是翔安马巷的居民,我先咨询一下,现在我爸的房屋产权要转给我,公证处已经公证了,是不是还要到马巷国土资源所去换产权证呢,如果是的话要带什么证件去,什么时候可以去换证",马巷镇,2008/8/16,请直接向马巷土管所咨询，电话：7066778（马巷镇）
投诉,污染,2017/5/5,翔安区内厝镇后田村往许厝村后房路上的养猪场臭气熏天，严重污染环境且违章搭盖，望贵局给予取缔。,执法局,2017/6/21,2017年6月21日翔安区城市管理行政执法局反馈：经查，该案件属非法占地建设。当事人系内厝镇后田村村民许海生。2017年3月1日，我局执法人员接举报后到内厝镇后田村现场查处时，发现当事人许海生正在进行住宅建设，当时现状：第一层钉模板，占地及建筑面积均为162.36平方米。当事人现场未能提供合法批建手续，执法人员依法送达《责令改正违法建设通知书》（NO：0010887），责令当事人停止违法建设行为，并自行整改。3月1日下午当事人许海生前来我局内厝执法中队接受询问调查，未提供相关部门审批的建设手续，执法人员再次责令当事人停止违法建设行为，并自行改正。2017年3月28日，我局执法人员前往现场查处，发现当事人继续抢建至一层倒板并正在砖墙，执法人员立即组织执法力量对其第一层砖墙进行拆除。此后，执法人员多次前往现场查处，均未发现当事人继续建设。6月13日，我局执法人员接到举报后到现场查处，未发现当事人继续建设。现该处建筑已停止违法建设。目前，该建筑我局拟立案处理并加大巡查监控力度。
投诉,石子偷偷开发,2017/5/7,政府以下公文令石子厂停止生产，连连盛石子厂晚上继续偷偷生产，,环保分局,2017/6/12,
咨询,灵活就业补贴,2017/5/8,请问被征地保险的灵活就业补贴什么时候会到账？打电话过去咨询说四月底会到，结果都还没收到。,人社局,2017/5/9,您好，灵活就业社保补贴每季度首月11日起开始办理上季度补贴资金，并由我局汇总上报至市人社局，再由市局审核、发放资金。2017年第一季的灵活就业社保补贴4月份申报，一般资金在5月底发放。
投诉,投诉,2017/5/8,投诉新圩便民服务中心70###85，有一个男的接的，5月8日上午打电话过去咨询，经办人没在，直接给我回复下午在打就给我挂掉。下午我打过去还是那个人接的。5点打的给我回复下班了，明天再打，又直接给我挂掉。连给我回话的机会都没有，态度极其恶劣！什么便民服务中心，对老百姓态度这么恶劣，令人很气愤！,新圩镇,2017/6/6,经核实，便民服务中心窗口的工作人员，并无存在所投诉事实，同时与投诉人电话联系，表示可能是沟通上有分歧而产生误解。
投诉,城管执法,2017/5/9,翔安区内厝镇后田村往许厝村后房路上的养猪场利用农田保护地违章搭盖成一大型养猪场，望贵局给予取缔。,执法局,2017/5/31,2017年5月31日翔安区城市管理行政执法局反馈：经查，该案件属非法占地建设。当事人系内厝镇后田村村民许海生。2017年3月1日，我局执法人员接举报后到内厝镇后田村现场查处时，发现当事人许海生正在进行住宅建设，当时现状：第一层钉模板，占地及建筑面积均为162.36平方米。当事人现场未能提供合法批建手续，执法人员依法送达《责令改正违法建设通知书》（NO：0010887），责令当事人停止违法建设行为，并自行整改。3月1日下午当事人许海生前来我局内厝执法中队接受询问调查，未提供相关部门审批的建设手续，执法人员再次责令当事人停止违法建设行为，并自行改正。2017年3月28日，我局执法人员前往现场查处，发现当事人继续抢建至一层倒板并正在砖墙，执法人员立即组织执法力量对其第一层砖墙进行拆除。此后，执法人员多次前往现场查处，均未发现当事人继续建设，现该处建筑已停止违法建设。目前，该建筑我局拟立案处理并加大巡查监控力度。
咨询,土地赔偿款标准咨询,2017/5/10,你好！我想咨询下现在翔安区马巷镇征收土地，土地赔偿款的标准是什么？政府每亩按多少钱给予赔偿？赔偿款多久可以发放到被征收农民手中？,马巷镇,2017/5/16,
咨询,咨询,2017/5/10,"我是翔安区彭厝社区布厝自然村的村民，因道路建设需要，自建房子被拆，与新店镇政府签有协议，协议内容为就地安置，由镇政府就近征地给拆迁户重新盖房（农村宅基地自建）。根据相关的法律法规，拆迁是必须先安置后拆迁，但因政府急需，我们村民也很配合，先给拆了。可是时间过来那么久，安置地一直迟迟未能落实。我们被拆迁户找了当时的工作组组长，他却以征地困难为由，要求我们被拆迁户自己与被征地者协调，因为都是同一村的，有些被拆有些未被拆但是又被征地，造成村民间矛盾很大,政府相关人员却把征地责任推给被拆迁户，同时还有村民要种地，接送小孩上学也非常的不方便，望区政府相关领导能够引起重视，我们是文明城市，和谐社会，希望翔安区人民政府能够真正的做好人民的公仆，以人民的名义为人民解决实际问题。",新店镇,2017/6/9,经向工作组及社区等单位人员了解，涉及滨海东大道布厝拆迁安置地用地场平一事，在2017年元旦清表后，立即组织施工单位进场进行场平施工，争取尽早完成场平，但在施工过程中，出现部分拆迁户在范围内的坟墓未迁移，以各种无理要求不迁移，导致场平施工受影响。为确保拆迁户的安置地尽快提交，请范围内拆迁户家的坟墓尽快迁移。
建议,761公交行驶路线建议,2017/5/10,761线路应该继续按原本的行驶，而不应该改成现在的行驶路线，这样严重影响了莲河到新店路段的人群出行，公交车班次本来已经够群众头疼了（经常不按时发车或者少发车），现在还要再转车，转车经常要遇到等车或者挤不上车的问题。而且，现在很多莲河到新店路段的孩子在马巷、同安读书，这样对他们来说更是不方便。公交车的行驶应该是本着为群众着想的方针执行的，而不应该是考虑到自身的因素而改动。,交通局,2017/6/2,
建议,莲河公交修改路线严重妨碍出行方便,2017/5/10,尊敬的工作人员，你们好。今天看到翔安公交公司发布的5月10日起761截短路线，新增714路。公交公司给出的理由是因761路途径的两个调头区封闭导致车辆无法调头通行。761截短至新店公交场站始发，同期配套新增714路保障761截短路段的客流。根据站点的比对，761减停的站点与714重合，那么请问为什么需要截短761的路线？后面打过70###97反应过这个疑问，接线的工作人员态度和蔼有礼貌（这里需要奖励一段小红花），回应说因为761路途经历的路线太长，所以才考虑要分流。首先，我来分析下现状：新店往莲河这一片有着好几个自然村，出行都靠着761来维持。莲河又处于泉州和厦门的交界，良好的地理优势，应该充分利用起来。我们都清楚，要想富先修路，现在路都有着，是不是应该是要想富先通车。这一片因为莲花总院、翔安厦大、香山旅游景区的设立，人流量不断地往上蹭，带动经济发展的同时，我认为有关单位应该带头支持莲河这片的经济发展。新店往莲河方向，多少个自然村有多少的就读孩子，难道他们以后需要几次转车才能入学吗？难道这片区的学生都不去同安或马巷那边就读吗？孩子是我们发展的动力，如果孩子不能全身心安全便利地上学，那让家长们如何安心工作？同安翔安是一家，长期以来的招生都是统招划片区，如果交通都断了，那么纽带是什么？翔安目前经济发展处于快速发展期，这时候更应该让交通四通八达，才能让资源流动。出行的不便必定带来片区的绝缘化，这个不利于两个地方的共同繁荣。倘若761一直截短下去，带来了不止是孩子上学问题，还有青年外出工作、看病难、走亲访友难的一系列问题。翔安火炬园、马巷工业园、同安城南工业园、西柯工业园等这些解决大量岛外就业的地方，714无一经过的。病人要去第三医院看病还要忍者疼痛，转车挤车等车。这几个自然村的人要出门访友交通不便，久而久之，关系容易淡掉。综上，希望有关部门可以认真考虑实际情况，妥善处理。那么以下，我将对这个情况提几个合理的建议：建议一：第三医院到莲河由于路途久，有时候堵车，让公交司机为难。但760的线路也不比761短多少。所以我们希望继续保留原有的761线路，增开莲河往岛内的公交，效仿大嶝到梧村车站的快线。这样客源分流，可以导致761不必一直上下客，节约运行时间；建议二：761从莲河往第三医院，路线修改下，从新莲路走新路，避免了两个调头区。同时，调整720路线，由720走761旧的汇景广场往莲河路线。这样，广大的自然村群众有直达车可以到马巷和同安，761也不必要因为两个调头区绕道太远；建议三：761由莲河公交场站走原路线到同安小西门或是到同安汽车站。同安汽车站到第三医院的路程也经常堵车，如果可以这样修改，那么新店这一片区可以直达到同安城内去转车。根据多年的同安生活，同安城内汽车站到第三医院的车子还算路线比较多，转车方便。这样761的运行时间也不会那么长，但是希望延长761末班车时间，让两城关系更加密切，经济往来更加密切，共同筑建魅力翔安同安。,交通局,2017/6/5,据翔安公交公司反馈，761路截短和增开714路是道路改造后为更好服务民众而调整的，调整后莲河至新店的班次间隙更短、班次更多，而新店至同安的公交车尚有791、760、761路共70多台，其转乘的便捷性还是可以保证的。
建议,请恢复莲河公交场站到同安的直达公交路线,2017/5/10,尊敬的工作人员，你们好。今天看到翔安公交公司发布的5月10日起761截短路线，新增714路。公交公司给出的理由是因761路途径的两个调头区封闭导致车辆无法调头通行。761截短至新店公交场站始发，同期配套新增714路保障761截短路段的客流。根据站点的比对，761减停的站点与714重合，那么请问为什么需要截短761的路线？后面打过70###97反应过这个疑问，接线的工作人员态度和蔼有礼貌（这里需要奖励一段小红花），回应说因为761路途经历的路线太长，所以才考虑要分流。首先，我来分析下现状：新店往莲河这一片有着好几个自然村，出行都靠着761来维持。莲河又处于泉州和厦门的交界，良好的地理优势，应该充分利用起来。我们都清楚，要想富先修路，现在路都有着，是不是应该是要想富先通车。这一片因为莲花总院、翔安厦大、香山旅游景区的设立，人流量不断地往上蹭，带动经济发展的同时，我认为有关单位应该带头支持莲河这片的经济发展。新店往莲河方向，多少个自然村有多少的就读孩子，难道他们以后需要几次转车才能入学吗？难道这片区的学生都不去同安或马巷那边就读吗？孩子是我们发展的动力，如果孩子不能全身心安全便利地上学，那让家长们如何安心工作？同安翔安是一家，长期以来的招生都是统招划片区，如果交通都断了，那么纽带是什么？翔安目前经济发展处于快速发展期，这时候更应该让交通四通八达，才能让资源流动。出行的不便必定带来片区的绝缘化，这个不利于两个地方的共同繁荣。倘若761一直截短下去，带来了不止是孩子上学问题，还有青年外出工作、看病难、走亲访友难的一系列问题。翔安火炬园、马巷工业园、同安城南工业园、西柯工业园等这些解决大量岛外就业的地方，714无一经过的。病人要去第三医院看病还要忍者疼痛，转车挤车等车。这几个自然村的人要出门访友交通不便，久而久之，关系容易淡掉。综上，希望有关部门可以认真考虑实际情况，妥善处理。那么以下，我将对这个情况提几个合理的建议：建议一：第三医院到莲河由于路途久，有时候堵车，让公交司机为难。但760的线路也不比761短多少。所以我们希望继续保留原有的761线路，增开莲河往岛内的公交，效仿大嶝到梧村车站的快线。这样客源分流，可以导致761不必一直上下客，节约运行时间；建议二：761从莲河往第三医院，路线修改下，从新莲路走新路，避免了两个调头区。同时，调整720路线，由720走761旧的汇景广场往莲河路线。这样，广大的自然村群众有直达车可以到马巷和同安，761也不必要因为两个调头区绕道太远；建议三：761由莲河公交场站走原路线到同安小西门或是到同安汽车站。同安汽车站到第三医院的路程也经常堵车，如果可以这样修改，那么新店这一片区可以直达到同安城内去转车。根据多年的同安生活，同安城内汽车站到第三医院的车子还算路线比较多，转车方便。这样761的运行时间也不会那么长，但是希望延长761末班车时间，让两城关系更加密切，经济往来更加密切，共同筑建魅力翔安同安。,交通局,2017/6/6,据翔安公交公司反馈，1、莲河公交场太小，无法增开公交线路，进岛可先行在厦大翔安校区候乘751。2、如此改线，导致珩厝、东园、茂林、吕塘、西林等超过两万民众乘车不易，方便了一小部分民众而让更大部分民众乘车困难。3、无论是小西门还是同安车站，因场地太小，现也在把公交线路调整出来，无法再增加公交线路进场发车。
咨询,使用报到证办理落户手续，未及时到公安局办理落户致资料过期问题,2017/5/10,各位领导好，我户籍福建泉州，2011年就读于集美大学，本科毕业后就业于厦门岛外企业！当时有使用报到证办理了落户公司集体户手续，人才中心的资料均办理完成，但因个人原因耽误了到公安局落户的操作！目前资料已过有效期！去年底登记结婚，结婚对象为厦门市翔安区人，计划落户时才得知需要三年后才能办理落户手续！想请问，我这种情况是否还能使用报到证办理落户，是否可以在原有落户资料基础上提交额外申请或相关证明办理！盼您回复，感谢！,公安分局,2017/5/15,
咨询,关于厦大翔安校区东门学生街的一些问题,2017/5/11,1、区政府对学生街的餐饮类店铺的食品安全有没有过定期的检查，如果有，检查结果如何?2、厦大东门的流动摊位有没有合法的经营许可，有没有部门对其进行监督检查？3、学生街的环境有没有部门管理以及措施？垃圾的回收及处理情况如何？4、对于未来学生街内店铺的发展和流动摊位的规范化，区政府有没有什么规划或建议?,工商局,2017/5/31,针对厦大翔安校区东门学生街的一些问题，我局答复如下：1.2016年以来，根据无证餐饮专项整治的要求，依据部门职责，我局共引导符合条件的27家餐饮服务经营者办理营业执照及食品经营许可证，签订26份《餐饮服务诚信经营承诺书》，发放28块厦门市餐饮服务食品安全监督信息公示栏。并对其中的24家经营户进行量化等级评定。今年以来，共检查经营户25户次，检查结果一式三份，其中一份交由经营者公示在其经营场所。2.针对问题中的2、3、4项情况并非我部门职责，建议转城市管理行政执法局、环保局、市政园林局进行处理。特此答复。厦门市翔安区市场监督管理局2017年5月25日
建议,761路线建议,2017/5/11,路线调整为：761（莲河公交场站-莲河中学-新店霞梧-西福路口-霄龙社区-沙美路口-厦大翔安校区南门站-东园社区-茂林社区-后树-董水-后珩-浦尾-新店东-宋版路口-汇景广场-按照原路线行驶到马巷、同安）720（莲河总院-莲河中学-新店霞梧-西福站-珩厝-霄垄-东园东-东园西-茂林-坑园埔-吕唐-西林-溪尾-陈塘-新店-人力资源路口站-汇景广场）这样方便了新店往莲河这片的住户出行便利，让百姓可以安心放心！谢谢,交通局,2017/5/23,据翔安公交公司反馈，这样调整后，相同的公交运力，会导致珩厝、东园、茂林、吕塘这些大社区民众出行的极大不便。
建议,关于761,2017/5/11,尊敬的工作人员：你好！我是莲河社区居民。今天看新闻报道关于调整761路线。只看标题的话，心里多少带着期许以为是不是要延长到岛内了？没想到点击进去看完，实在让人开心不起来。我不知道为什么为了所谓两个掉头的封闭就截短路线？关于761这条路线，是莲河社区附近好几个村的百姓最引以为豪的一条路线，至少到城里镇上都有直达，无需乘坐无牌摩的，安全又省心。是好几代人最初的关于公交记忆路线。针对这则不便民新闻，结合实际情况，我们先来看下莲河的地理优势，是连接南安石井水头的往来重要纽带，如今很多南安人都在厦门上班，都选择到莲河转车。加之现在莲花总院、翔安厦大、香山旅游景区的设立开发，人流量不断地往上蹭。厦门政府也一直在推崇农村城镇化。那么一个地方要发展好，交通就是首要第一发展项目。如果交通便利，四通八达，自然会带来经济，提高百姓生活水平。再者目前为止莲河附近社区的孩子如果能考个同安一中，翔安一中的话，那可都是长辈们的骄傲。如今，线路调整，他们好不容易考上同安一中，翔安一中等其他重点学校，原本初升高，学习压力也随之繁重，也是许多孩子第一次离开父母，每周末才能回家团聚一次。如今时间大多都将花在转车等车上。让年轻一代的父母如何安心上班，势必会造成无心上班或者辞职在家接孩子，这样一个普通家庭的收入可想而知。接着目前莲河到岛内没有直达车，村民看个大病普遍都上第三医院或者同民医院就医，如今调整线路意味着村民得忍受病痛几经转车去看病或者选择叫车，但是叫车费用不菲，并非人人叫得起。再说如果是老人，哪里经得起折腾。原本翔安同安本一家，翔安火炬园，马巷工业园，同安西柯工业区等等是无数打工人的上班地带，一般外出打工年龄段在三四十岁之间，家里正常都上有老，下有小。薪酬不高加之上班又是几班倒制度，一周休一天。轮到休息时间都想回家看看老人小孩，如今回趟家也是真心不容易了。当然要解决这问题，也许自己买辆车是最便利了，去哪都方便。但是买车是人人都买得起的吗！工薪阶层原本生活就够勉强的。再说国家不是也在推崇低碳出行，能走路尽量不坐车，能坐车尽量不开车吗？综合以上分析，我想出了几条建议，望贵领导能真正从百姓根本利益出发。妥善处理，做到真正的便民。建议一：第三医院到莲河由于路途久，有时候堵车，难免让公交司机为难。但对比760的线路也不比761短多少。所以我们希望继续保留原有的761线路，增开莲河往岛内的公交，效仿大嶝到梧村车站的快线。这样客源分流，可以导致761不必一直上下客，节约运行时间；建议二：761从莲河往第三医院，路线修改下，从新莲路走新路，避免了两个调头区。同时，调整720路线，由720走761旧的汇景广场往莲河路线。路线调整为：761（莲河公交场站-莲河中学-新店霞梧-西福路口-霄龙社区-沙美路口-厦大翔安校区南门站-东园社区-茂林社区-后树-董水-后珩-浦尾-新店东-宋版路口-汇景广场-按照原路线行驶到马巷、同安）720（莲河总院-莲河中学-新店霞梧-西福站-珩厝-霄垄-东园东-东园西-茂林-坑园埔-吕唐-西林-溪尾-陈塘-新店-人力资源路口站-汇景广场）这样，广大的自然村群众有直达车可以到马巷和同安，761也不必要因为两个调头区绕道太远；建议三：761由莲河公交场站走原路线到同安小西门或是到同安汽车站。同安汽车站到第三医院的路程也经常堵车，如果可以这样修改，那么新店这一片区可以直达到同安城内去转车。根据多年的同安生活，同安城内汽车站到第三医院的车子还算路线比较多，转车方便。这样761的运行时间也不会那么长，但是希望延长761末班车时间，让两城关系更加密切，经济往来更加密切，共同筑建魅力翔安同安。谢谢了！,交通局,2017/6/6,据翔安公交公司反馈，1、莲河公交场太小，无法增开公交线路，进岛可先行在厦大翔安校区候乘751。2、如此改线，导致珩厝、东园、茂林、吕塘、西林等超过两万民众乘车不易，方便了一小部分民众而让更大部分民众乘车困难。3、无论是小西门还是同安车站，因场地太小，现也在把公交线路调整出来，无法再增加公交线路进场发车。
