click_r,release_t,title,content,transfer_u,expect_t,reply_c,satisfy_d,evaluate_t,evaluate_c
671,2017/1/3,莆田交警胡乱执法，损害公信力，请求撤销违章处罚,厅长，您好，本人车牌闽D###89，对莆田电子抓拍违章处理不认可向您申诉。2016年12月16日，在汽车在中间车道已过人行道停止线，而行人在马路边刚要过马路，车距离行人有一个车道的情况下，竟然按扣3分，100元处以违章，完全是乱执法，有违公信力。请予以核实情况并撤销处罚。,莆田市公安局,2017/1/3,高扬帆同志：您好！您的来邮已收悉，现答复如下:经查询，车牌号闽D98H89于2016年12月16日在荔城路与石室路交叉路口遇行人正在通过人行横道时未停车让行的违法行为是系统抓拍。根据道路交通安全法第47条第一款规定，车辆行经斑马线处应当减速，遇行人正欲通过斑马线时应停车避让。该车辆行经该处时未有减速及礼让等行为，且高速通过该路口（车速为69KM\H)，故莆田市公安局交警支队对您的处罚证据充分，程序合法。感谢您对公安工作的理解与支持！,,,
739,2017/2/3,违章复议,龙岩市连城县公安局交通警察大队把违章车辆闽D###3M的违章停车登记为闽D###3M，而闽D###3M并没有违法。请有关部门解决并清除这张不该有的违章！,连城县局,2017/1/26,陈明威你好：你的来邮已收悉，现答复如下：公安机关已更正错误，给你带来不便请你谅解，感谢你对公安机关的理解和支持!,,,
817,2017/2/23,违章申请复议,"【泉州公安交警支队】尊敬的闽C###BW小型汽车车主,您的车辆2017-02-0118:52:11在晋江市晋江市安海镇南环路(晋江市安海镇南环路南环路东连接线至安东路口路段)因“驾驶人未按规定使用安全带的”已被抓拍,请您今后自觉文明驾驶,守法出行。(晋江交管大队秩序设施中队)本人每次开车前的第一个动作就是系好安全带，所以清清楚楚记得是有戴安全带的。网上找违章照片也找不到，特申请复议，是不是因为晚上时间且我穿的是深蓝色衣服，导致安全带没辨认出来，盼复，谢谢！",泉州市公安局,2017/2/6,"陈先生：您好！您反映的信访事项来邮已收悉，现答复如下：经核查，从违章图片上可看出当时该闽C063BW小型汽车上主、副驾驶座各一人，从主、副驾驶座对比来看，副驾驶座上人员右斜上方可清楚看到系有安全带，主驾驶座上左斜上方并无系安全带的痕迹,故该闽C063BW小型汽车行驶至路口时被电子警察抓拍未系安全带。另外，晋江市公安局交警大队相关工作人员已通过电话联系方式向您告知该情况，并告知您针对该条违章的处理办法，您表示理解、满意。感谢您对公安工作的理解和支持！",,,
501,2017/3/14,机动车违章停车申请行政复议,本人机动车闽G###12于2017年3月02日在宁化县新桥路过水门口，被交警部门抄告，违法内容显示为违反禁令标志指示。现提出2点疑义：1、我驾驶该车辆行进至所停位置路段突然感觉车辆跑偏，为了安全立即靠边停车在车前检查，有2名协警手持照相机在我车后拍照，我立即解释下车车辆故障马上离开随后坐上驾驶室驾驶，2位警官没有理会我态度傲慢走到我车前又拍了一张就离开了，也没有开现场违法的处罚单，我一直解释他们头也不回就走了。第二天我收到违章短信。根据显示的2张违法图片，均为在车后同一角度所拍摄，我坐在驾驶室驾驶的图片为什么没有上传？违法证据是否充足？根据道交法对违反道路交通安全法律、法规关于机动车停放、临时停车规定的，可以指出违法行为，并予以口头警告，令其立即驶离。机动车驾驶人不在现场或者虽在现场但拒绝立即驶离，妨碍其他车辆、行人通行的，处二十元以上二百元以下罚款，并可以将该机动车拖移至不妨碍交通的地点或者公安机关交通管理部门指定的地点停放。何况我是发觉车辆故障停车检查的，警官为何不能理解？再者协警手持照相机就在街上拍照执法是否符合规定，是否合法。恳请领导关注，谢谢！,宁化县局,2017/3/14,林田根：您好！您的邮已收悉，现答复如下：经组织民警调查核实，2017年3月2日，宁化县公安局交警大队巡逻人员在国税局门口发现闽GFR112车辆违法停车，经交警人员多次口头警告要求该违停车辆驾驶员开车驶离，但驾驶员始终不听且拒绝驶离，其违法停车行为严重影响路面车辆畅通和交通安全，为保障道路顺畅和通行安全，巡逻交警人员对该违法行为进行拍照取证，并录入违章处罚系统依法进行处罚。经核查宁化公安交警大队对闽GFR112车辆违法停车行为的取证和处罚符合法律程序。感谢您对公安工作的支持。,不满意,2017-51-16 10:51:50,那能不能把监控录像调出来看看是否属实？
4092,2017/3/29,郑华身为交警知法犯法,您好警官辛苦了，本人于2017年1月19日18时33分在福昆线0247公里。当时我在美尚路最左旁的车道要左转去往巷东路，被最左边车道的左边车（闽D###5W）“要直行”车头撞上我车左后轮部位，直行理应该在直行道怎么在最左边车道的左边，那属于逆向车道。结果判我左转不让直行怎么判我左转不让直行，直行有直行车道左转有左转车道。况且当时后车前面撞上我左后轮，这样是左转不让直行吗，郑华（20##31）交警问了不到一分钟就判我左转不让直行。我要拿行车记录仪和现场照看给交警看他就说;我说你错就是你错，毕竟交警拍的照片是闽D###5W车主破坏过现场了，不是当时现场。结果罚单就开了，判我全责和扣3分罚300元。开罚单也要按现场来判，我和他理论他还用手指指我对我凶，说我不懂交通法规再给你开一张罚单。罚单是这样开的吗？郑华身为交警这是知法犯法。1.交通事故认定书（报案序号：35#######7011#####07）2.处理通知书（编号：35#######016909）判断错与对不要用现场记录吗？就凭郑华（20##31）交警问了不到一分钟就判我左转不让直行，他说判你错就错。在法律面前人人平等，郑华身为交警这是为人民服务吗，正义何在。,翔安分局,2017/3/29,吴永吉:您好！您的来邮已收悉，现答复如下：您反映的问题，经翔安公安分局交警大队核查，该事故发生在福昆线0246公里处内田十字路口，该路口地面无明显标志标线，无法认定对方逆向（路口处仅有两个不清晰导向标志），当时翔安交警大队马巷中队民警到达事故现场进行现场勘查，后认定您左转不让直行应负全责，您对此表示有异议，民警表示据现场勘查认定该结果，若有异议可通过申请行政复议解决，事后经交警大队复核，认定该起事故为双方各负其责。接下来，翔安公安分局交警大队将进一步加强工作人员的业务能力培训，并加强交通安全宣传以及提高人民群众的交通安全法律意识。感谢您对公安工作的理解与支持！,,,
3763,2017/4/17,福州市鼓楼区古田路122号,福州市仓山区金康路41号摘仙苑9号楼104单元房和9号楼203单元房存在未办理相关手续开设托管机构，四周通道全部被封死，只有大门进出。如发生火灾等意外事故，极易造成群死群伤，望有关部门予以重视，取缔该非法托管机构。,仓山分局,2017/2/17,您好！您所反映的问题已经收悉。仓山公安分局金山派出所社区民警已到该处走访调查，经查，未发现四周通道被堵塞的现象，民警已要求负责人不得造成安全隐患。感谢您对公安工作的理解和支持。,,,
3605,2017/4/24,强烈要求泉州市公安局还我血汗钱,我是泉刑终字2011第856号刑事裁定书案件的当事人。案件至今巳结案七年多，而被泉州市公安局无端扣押的血汗钱一百多万元泉州市公安局无任何正当理甴拒不退还，多年来本人多次上访，虽答应妥善处理却从末处理，置国家法律不顾，置人民群众的合法权益不顾，置习总书记依法治国方针不顾，请厅长严查，严打，追究经办人的责任，还我钱来，赔我损失，要不我死不闭眼，一定给我说法，给个公道。,泉州市公安局,2017/4/7,高玉新同志：您好！您反映的信访事项来邮已收悉，现答复如下：经查，因您经营的两个总代理账户的涉案人员均未到案，均需查明，故泉州市公安局经侦支队对您暂扣的款项暂无法予以退还，待案件查明后，将第一时间予以处理。感谢您对公安工作的理解和支持！,,,
4435,2017/4/26,最难的落户,我非婚生子，女方几年前又和我分开了，现在还在要上小学一年级，没户口，正月去做了亲子鉴定，又有村证明，出生证明，等.以为可以为孩子上户口了，可是说要做和孩子母亲有在一起过的笔录，难道亲子鉴定还不可以证明什么么，后来做笔录就做笔录，可今天说明天给我做，明天说后天，后天又说下星期，到了下星期又推，这一天又一天，一个礼拜又一个礼拜的转眼几个月了，天天派出所跑，都没用，孩子上不了学看来只能在家玩，我也没办法，以后这责任谁负责，现在为孩子上户口，工作都丢了，总要给人个活路吧，,福安市局,2017/4/25,刘先生：您好！您的来邮已收悉，现答复如下：日前，您到福安市公安局甘棠派出所申报新生儿落户，户籍民警在审核您材料时，发现您持有的孩子出生医学证明上有父母亲信息，经核实孩子母亲钟雪容信息及通过了解您与钟雪容在孩子落户问题上存在分歧，故甘棠派出所告知您需与钟雪容协调清楚孩子落户问题后再办理落户。几日后，您表示与钟雪容无法沟通协调，于是民警告知您找到钟雪容家人或者亲友到派出所做进一步的核实，以免公安机关成为被告，同时与您预约好制作笔录时间，后因民警执行公务，无法在约定的时间给您制作笔录。4月25日接到您的来信反映后，民警再次联系您本人到派出所核实情况，4月26日下午，甘棠派出所为您办理孩子的落户手续，您表示理解与感激。感谢您对公安工作的理解与支持！,满意,2017-25-26 06:25:04,现在已经解决了，谢谢
4876,2017/4/26,对【厦门市公安局湖里分局交警大队殿前中队】执法行为提出质疑,2017-03-19下午14时28分，我驾驶闽D###9W牌照行驶经大唐世家小区小区道路，因车上前排老人安全带卡扣问题引起呼吸不畅，在左右前后无车情况下，为防止出现人体意外情况，我稍做停车动作，是为处理前排老人家调整安全带的这个突发情况。此驻停行为前后不超30秒时间，但是后面居上的【厦门市公安局湖里分局交警大队殿前中队】执法车经过时，执法车上没有停车探查举动，该车执法人员更没有下执法车探查我车停车原因，其在执法车上直接拍照认定我违法停车。释然我知道该黄线路段不能停车，但是事出有因，且我确保在不影响交通通行情况下（照片上即可证明）才停车做紧急处理，并非主观意图要停下来，该执法拍摄员不分缘由就如此武断的判定，是让人所不解的。是故我于4月11日从车主口中得知收到违法停车情况之时，我倍感不解，也倍感委屈。因此我之前已然信访过，今2017年4月13日下午16时57分，我接到【厦门市公安局湖里分局交警大队殿前中队】来电，通话中，我对我当时的行为给予了解释，并请求该局中队上传在拍摄我违法停车地点前后30秒的视频。但是给予的回复是无法提供视频，因为当时只是拍照并无视频。该通话员告知我湖里区各网点都可以进行复议申诉，但又告知我凭借照片肯定坐实违法停车的行为的。我知道如果无法提供视频无法证实我如上说法。而此次信访我在阐述我的“违法行为”后，目的是欲让信访办知悉，国家因法治得以昌盛和繁荣，人民因为有法治得以安心生活，治是有理，治是有据，但是有些特殊情况真是迫不得已的，我相信法理，相信国家，没有人会无故去触犯法理，我只希望，在美丽厦门，执法人员也能在有理有据的的情况下能真正做到正确分析正确指导，在一些特殊的突发情况下，希望各执法人员能更妥当的探查核实情况后再下结论。这样才能更大的避免社会的上的冤情冤案。创建和谐社会，美丽厦门你我同行。此案虽冤，我虽幽怨，但既是过往之事，我亦可放下，因为在我周围，我看到的更多是秉公执法，真正切切为人民服务，为需帮助的人民提供帮助，有情有义有温暖的厦门市人民警察。,厦门市公安局,2017/4/19,骆明雅同志：您好！您的来邮已收悉，现答复如下：就您车辆闽D4569W号小型汽车3月19日14时28分许违停在大唐世家小区小区道路问题，湖里交警大队殿前中队于4月24日与您取得联系，向您反馈违停信息。通过公安系统查询，系统能够显示违停照片，且违停照片清晰体现您将车辆停放于兴隆路与火炬二路东段路口处，道路施划黄色禁停线，属于禁止停车道路，因此中队流动执法车巡查发现后，对违停车辆进行拍照取证，并录入违停系统。您表示后期已看到照片，认为车辆是在移动，但经过认真比对，车辆并未处于运动当中。您又表示当时有老人上下车，执法不合理。中队也耐心做了解释，并表示违停属实，若您仍有异议，可在处罚后持处罚决定书提起行政复议或行政诉讼维护自身权益。您表示会去行政复议。感谢您对公安工作的理解与支持！,,,
4955,2017/4/26,踢皮球求助,我有一部微型车10多年了，3-4年前已经坏掉不能用了就没有去年检，停放在家具城旁边的停车场的竹篱笆外面，因为不懂没有去销户，十几天前我要去卖掉一部小车才被告知需要注销闽E###50车才能过户，可是现在车子不知道什么时间丢了啊证件也没了。去交警大队要办理注销说要到派出所开证明，到派出所他们说没有证件还有时间长了不给受理。现在就是谁都不管啊该怎么办啊求求你们给个办法啊、、、前段是时间也在这个平台求助可是发后就一直看不了回复一直提示密码错误。查询编号:WS###96#68查询密码：qq##34。。还有哪怕我再是有什么大的过错应该也要解决吧而不是这样一直推来推去。一个小市民的无助啊，拜托了,龙海市局,2017/4/26,您好！你的来邮已收悉，现答复如下：根据公安部124号令第二十九条规定，机动车所有人申请灭失注销登记应当填写申请表，并提交以下证明、凭证：（一）机动车登记证书；（二）机动车行驶证；（三）属于机动车灭失的，还应当提交机动车所有人的身份证明和机动车灭失证明。具体情况也可向交警办理部门询问。感谢您对公安工作的理解与支持！,,,
