title,time,content,repcontent,reply_p,reply_ta
关于建筑工程工程设计专业乙级资质的申请,2017/5/8 0:00,1：建筑工程专业乙级设计是初审是在建设局，终审在省建设厅是吗？2：技术负责人、和非注册人员的设计业绩都需要提供什么证明材料？3：注册或非注册人员，省外的人才是否可以？4：官网中无法查询的人员职称证，官网是指福建省建设行业企业和人员信息公开平台吗？,你好：1、建筑工程设计专业乙级资质建设局综合窗口仅核对原件；2、所需材料及人员等其他相关条件详见福建省住房与城乡建设厅网站发布的办事指南http://www.fjjs.gov.cn/wsbs/xzxk/xzxk/20##09/t2###########57.htm；3、关于办理建筑工程设计专业乙级的相关政策及人员证书咨询请直接向省住房与城乡建设厅咨询。谢谢！,建设局,2017/5/8 0:00
自助查询机信息登记出错该如何办理,2017/5/12 0:00,"你好:周五下班的时候在自助查询机上打印无房证明,选了无房后因屏幕不灵又返回不小心按了有房,后系统提示录入信息不一致无法自助打印,请问要如何处理?谢谢.",需到窗口由工作人员解锁或者取号在窗口办理。,国土房产局,2017/5/15 0:00
临时工工资,2012/1/5 0:00,尊敬的领导：作为特区厦门的居民，本应该是很自豪的，应该享受到特区应有的待遇与尊重的。我们致力于翔安新区开发建设，至今已有五六年了，虽然说是临时工，但是工作兢兢业业，从不懈怠。不敢说为新区建设有什么贡献，任劳任怨总是有的。在政府部门工作了五六年了，政府也一直没有帮我们解决签合同的问题。政府一直标榜要尊重人权，要求企业要保障员工的合法权益，签订劳动合同是最基本的，但是翔安区很多政府部门还存在许多的临时工没有签订劳动合同，连最基本的医社保也没有保障。领的工资也才一两千块，如果自己缴交医社保，拿到手的工资不到一千五百块，您说说，这样的工资待遇和厦门特区形象挂的上钩吗？可能您们作为领导，作为公务员，不知道我们临时工的辛苦，事情多，工作量都超过在编人员了，享受的待遇却是厦门的最低工资标准，说起来就让人寒心。这种事之前我们也反映过的，你们都是转给区人劳局答复，可是答复的内容都是一样的，什么非编人员用工都是按照规定招聘的，不存在没有签订合同的临时工。可是，在政府部门上班的人都知道，其实还是存在很多的，据我所知，新城指挥部、经贸局、建设局等等都还有几十个没有签订劳务派遣合同的。我们这些人下基层、写材料、鞍前马后的为领导办事，领导却是不为我们着想。去年九月份，非编人员就已经加工资了，而我们临时工却不能享受加工资待遇，本来不签合同，我们也没话说了，但是至少也要享受一样的待遇啊，该加工资就加工资啊，请问，领导们，你们会怎么处理呢？也许，你们还是会转给人劳局，也许你们会要求调查，会暗地辞退临时工，没有关系，我们大家都是有准备的，手上多少会有一些证据的，到时候辞退的时候可以去上诉，申请劳动补偿，毕竟用工没有签订合同是要补偿的。,2012-01-09人事劳动和社会保障局：2012-01-09翔安区人事劳动和社会保障局：您好！首先，感谢您一直以来对我区发展作出的积极贡献，我们也一定会保障您合法的权益。根据《劳动合同法》及其实施条例的规定，用人单位必须在规定时限内与劳动者签订劳动合同，否则属于违反《劳动合同法》。如果您所反映的情况属实，您可以到翔安区劳动争议仲裁委员会申请仲裁，以维护您作为劳动者应有的权利。同时，必须指出，原则上政府部门单位不允许私自招用临时工，更不允许用工时不签订劳动合同。若该单位有空余的在编编制指标或非在编雇用人员指标，都应该采用公开招聘的方式补充人员。我们将会根据您所反映的情况，进行调查核实并加以处理。,社保局,2012/4/26 0:00
一次性补缴15年养老保险后医保缴交年限不足如何解决,2012/3/30 0:00,根据我市出台的《关于妥善解决企业职工基本养老保险有关问题的意见》，我在今年3月份补足了15年的养老保险金额，下个月退休，但同时这个月职工医疗保险被停了，对于医保是可以继续按月缴交还是强制性要求一次性补缴，社保局的工作人员并没有给出明确的答复，感到十分困惑。,2012-03-22城乡医疗保险处：我局与市财政局拟出台《关于妥善解决有关人员基本医疗保险问题的通知》，目前正在会稿中，待文件下发，信访人的问题即可解决。,社保局,2012/3/30 0:00
暂住证,2012/3/30 0:00,请问一下，我去年10月底在厦门火车站那边办理了暂住证，但是这个月我搬离原来的住所，搬到中山路了，我的暂住证是不是需要重新办理、暂住证在厦门不通用吗？为什么稽查的时候说暂住证没用？,2012-03-29厦门市公安局：你好！你反映的信访事项，不需要重新办理暂住证，但要到当地派出所办理变更地址手续。谢谢你对公安工作的支持与理解。,公安局,2012/4/26 0:00
第四批保证性商品房,2012/3/30 0:00,岛外公务人员第二批已经插队了！厦大在准备第四批！厦门机关事务管理局马上就要公示岛内公务人员第二批了，请问，迟迟不公布房源，是否要等到厦大，岛内公务人员选完房后，才把他们挑剩的给我们？！！！！公平公正透明何在？这就是厦门保障房工作的蓝本吗？？！！谢谢,2012-03-28厦门市建设与管理局：关于第四批保障性商品房的问题，第四批保障性商品房预计4月9-13日前领取购房通知书、14日看房、17日配售，具体时间以6号的报纸和网站通知为准，届时还会短信通知。,建设局,2012/3/30 0:00
竣工验收监督完，你们窗口会出具什么文件来告知我们,2012/5/8 0:00,竣工验收监督完，你们窗口会出具什么文件来告知我们,竣工验收监督完，通过的质安站出具“质量竣工验收监督告知书”告知，未通过的出具《建设工程竣工验收监督整改通知单》，整改后报质安站复查。,质安站,2012/5/8 0:00
单独招标的分部工程能不能办理竣工验收监督？,2012/5/8 0:00,单独招标的分部工程能不能办理竣工验收监督？,不能，要以整个单位工程申报竣工验收监督。,质安站,2012/5/8 0:00
办理监督申报提交的施工合同需要备案吗,2012/5/8 0:00,办理监督申报提交的施工合同需要备案吗,要的，所有施工合同都需要提供造价站的合同备案证明书，如果是公开招投标的则还需要经招标办备案。,质安站,2012/5/8 0:00
质量安全监督申报办理时限是多长,2012/5/8 0:00,质量安全监督申报办理时限是多长,资料齐全，系统录入完整，当即受理。,质安站,2012/5/8 0:00
工程监督站有市、区两级，怎么区分监督申报受理单位,2012/5/8 0:00,工程监督站有市、区两级，怎么区分监督申报受理单位,以立项批文为准，市立项的工程在市站办理，区立项的工程在区站办理。,质安站,2012/5/8 0:00
质量安全监督申报的系统要怎么录入,2012/5/8 0:00,质量安全监督申报的系统要怎么录入,建设单位网上注册帐号及密码，再到监督申报网录入，具体详见网站系统操作流程。,质安站,2012/5/8 0:00
办理建设工程质量安全监督申报需缴纳什么费用,2012/5/8 0:00,办理建设工程质量安全监督申报需缴纳什么费用,不需要缴纳任何费用。,质安站,2012/5/8 0:00
办理运输证后，可以退出营运吗？,2012/5/8 0:00,办理运输证后，可以退出营运吗？,可以退出营运。在车辆没有检测及维护超期情况下，经营者如不再从事运输经营业务可申请退出营运市场注销营运证。,交通局,2012/5/8 0:00
申办道路运输证材料齐全直接到受理窗口办理吗？,2012/5/8 0:00,申办道路运输证材料齐全直接到受理窗口办理吗？,申办道路运输证流程为：申请人先检测站进行车辆综合性能检测，然后到我市二类以上与运管处联网的维修企业签订车辆二级维护合同，并输入车辆基本信息同时上传市运管处。信息上传成功后申请人携带纸质材料到运管处打印运输证。,交通局,2012/5/8 0:00
申办道路运输证车载GPS有何相关规定？,2012/5/8 0:00,申办道路运输证车载GPS有何相关规定？,客运车辆、危险品运输及总质量8吨（含）以上货运车辆在申办道路运输证时须安装带行车的GPS，型号必须在交通部公布的符合道路运输车辆卫星定位系统标准的车载终端中选购。提供的GPS发票上须注明GPS型号、批次、和车号等内容,交通局,2012/5/8 0:00
具备申办条件的车辆对车型有要求吗？,2012/5/8 0:00,具备申办条件的车辆对车型有要求吗？,根据交通运输部颁布的《道路运输车辆燃料消耗量检测和监督管理办法》（交通运输部令2009年第11号），总质量超过3.5吨的道路运输车辆应在交通运输部公布的《达标车型表》范围内选购。未列入上述车型表范围内的车辆，不予办理《道路运输证》。（购置发票在2011年2月28日（含）前开具的车辆如属于《过渡期车型表》也可以申办）,交通局,2012/5/8 0:00
夫妻均为单位职工，能否同时享受货币化补贴,2017/5/12 0:00,夫妻均为单位职工，能否同时享受货币化补贴。先生婚前购房后已经申请货币化补贴，婚后配偶可否申请货币化补贴？,夫妻双方均为本市机关或事业单位的职工，符合货币化补贴申请条件可同时享受货币化补贴。,国土房产局,2017/5/15 0:00
同安恒亿尚品湾B5产权,2017/5/12 0:00,你好，西柯镇[恒亿·蓝波湾（2010TP13地块）]B5，于2017年1月13号通知交房，消防是在2016年12月通过的，问：B5大产权何时能办出来。谢谢,若开发商已经整理齐全办大产权的材料就可以申请办，你可以上厦门网上房地产网站查询所带资料,国土房产局,2017/5/12 0:00
以赠与过户的话，需要携带什么资料？是否需要赠与合同？市政服务中心是否有提供模板？,2017/5/15 0:00,以赠与过户的话，需要携带什么资料？是否需要赠与合同？市政服务中心是否有提供模板？,赠与方：夫妻双方身份证、结婚证、户口本，受赠方身份证，赠与合同（无需公正），关系证明，若有抵押，抵押权人需到场一起办理并开具同意函没有提供模板自己写,国土房产局,2017/5/16 0:00
关于限购的咨询,2017/5/15 0:00,夫妻，丈夫名下已有一套房，妻子接受父母房产51%产权赠与后是否还可以在厦买一套房？厦门户籍,如果是买180以下的不可以，但是180以上就可以了,国土房产局,2017/5/16 0:00
年度职工月平均工资,2017/5/15 0:00,请问厦门海沧区2016年度职工月平均工资是多少？,你好，工资统计非我局业务，请咨询市统计局。,商务局,2017/5/15 0:00
未成年孩子（户籍在外地）是否可以挂靠本地户籍的亲戚朋友,2017/5/17 0:00,未成年孩子（户籍在外地）是否可以挂靠本地户籍的亲戚朋友，需要什么条件，怎么办理？,你好，请向公安局户籍部门咨询。,民政局,2017/5/18 0:00
单位如何办理集体户,2017/5/17 0:00,单位注册资金300万，已注册3年，现有员工100余人，年交税在30W+，这样的企业可以办理集体户吗？如何办理集体户，有什么具体要求呢？,你好，请向公安局户籍部门咨询。,民政局,2017/5/17 0:00
增加注册资本及变更公司章程需要什么文件资料,2017/5/17 0:00,我公司增加了注册资本，要变更公司的信息需要什么资料文件，要变更联络人需要什么资料文件。,属于外资企业，变更注册资本需提交材料请查阅网址http://www.xmgs.gov.cn/bsdt/bszn/gs##zc/ywzn/##zy/wz##/##xz/fr##zt/ws##qy/bg##/20##10/t2###########02.htm备案联络人需提交材料请查阅网址http://www.xmgs.gov.cn/bsdt/bszn/gs##zc/ywzn/##zy/wz##/##xz/fr##zt/ws##qy/ba/20##10/t2###########03.htm属于内资企业，变更注册资本需提交材料请查阅网址http://www.xmgs.gov.cn/bsdt/bszn/gs##zc/ywzn/##zy/nz##/##xz/gs/bg##/20##09/t2###########04.htm备案联络人需提交材料请查阅网址http://www.xmgs.gov.cn/bsdt/bszn/gs##zc/ywzn/##zy/nz##/##xz/gs/ba##/20##09/t2###########05.htm,市场监督管理局（工商局）,2017/5/17 0:00
安全生产许可证申请,2017/5/9 0:00,您好，请问没有资质可否申请安全生产许可证,你好，1、根据《建筑工程安全生产管理条例》（国务院393号令）第二条：在中华人民共和国境内从事建设工程的新建、扩建、改建和拆除等有关活动及实施对建设工程安全生产的监督管理，必须遵守本条例。本条例所称建设工程，是指土木工程、建筑工程、线路管道和设备安装工程及装修工程；2、从事建设工程施工的企业需向住房城乡建设主管部门申请办理建筑施工企业安全生产许可证；3、我局仅受理建筑施工企业安全生产许可证申请。具体问题可拨打窗口电话77###75进行咨询。谢谢！,建设局,2017/5/9 0:00
建设局,2017/5/11 0:00,请问下二级建造师增项忘了延期了，过期了。该怎么处理呢？,你好，可以在办理继续教育后，参照市行政服务中心的办理指南提交申请材料办理延期。谢谢！,建设局,2017/5/15 0:00
施*许可证办理,2017/5/5 0:00,你好，我想问下现在办理市政施工项目的（施工许可证）需要准备哪些资料，到哪里办理。谢谢！,你好，市属项目的办理在厦门市行政服务中心3楼B厅27号窗口办理，区属项目请到所属区政务中心办理。办理资料请参照厦门市政务中心官方网站的办事指南，具体网址为：http://www.xmas.gov.cn/bs##hn/wbj/dslc/Bq/js#####ch/53####55.htm。谢谢！,建设局,2017/5/8 0:00
产权转让,2017/5/6 0:00,你好，我和老婆均为厦门户口，名下均有一套房子，现在想把父母名下的房子转一部分产权给我。按照新政，我和老婆是不能买房了吧，那么父母把房子产权赠予我可以吗？如果可以，需要准备哪些材料在哪里办理,可以办理赠与，父母双方身份证、结婚证、户口本、产权证、儿子带身份证，赠与合同，关系证明，若有抵押，抵押权人也要一起过来，并开具同意函,厦门市不动产登记中心,2017/5/8 0:00
报建整体手续资料咨询,2017/5/2 0:00,你好，我公司中标一教学楼装修改造工程，大约6000平方米左右，我想咨询下：1报建需要从哪个部门开始，涉及到哪些部门2甲方和施工方各需要取得哪些证件3甲方和乙方需要提供哪些资料4是否参考建筑工程报建流程进行,你好，装修工程可参照建筑工程报建流程进行办理，项目报建整体手续所涉及的办理部门众多，建议你参照市行政服务中心官方网站的办事流程及办事指南的相关程序办理。如你司项目为区属项目，建议你咨询区相关主管部门。谢谢！,建设局,2017/5/2 0:00
如何申办防水防腐保温二级资质,2017/5/3 0:00,请问我公司想要申办防水防腐保温二级资质，要如何申办？市行政服务中心的工作人员跟我说网页上有申办步骤，可我找不到。烦请告之，谢谢！,你好，建筑业企业资质资质申请请参照市行政服务中心官方网站办事指南，具体网址为：http://qzqd.xm.gov.cn/bszn/20####09/1014.htm。谢谢！,建设局,2017/5/4 0:00
户口二次挂靠,2017/5/3 0:00,您好，咨询如下：本人因离婚，将户口挂靠至朋友家中。现在厦门无房无工作，现朋友催促需将户口迁出，请问可否再挂靠另一个朋友户口内或是有集体户口可以迁入的。谢谢！！！,你好，请向公安局户籍部门咨询。,民政局,2017/5/3 0:00
你好，想问一下产地证手签员的办理流程。,2017/5/4 0:00,之前已经有办理过，现在要添加以为手签员，需要填什么表格或者走什么程序，能告知一下吗。,请拨咨询电话：77###65,厦门国检,2017/5/5 0:00
关于建筑三级总承包资质的申请,2017/5/4 0:00,1：标准说技术负责人（或注册建造师）主持完成过本类别资质二级以上标准要求的工程业绩不少于2项。就是说参照建筑二级资质标准中4类中的2类工程的施工总承包或主体工程承包，，工程质量合格的业绩还是说只要有这类的业绩，不用要求层数，高度及建筑面积等的业绩都行。。。,你好，每项业绩只需满足所申请专业标准规定的二级资质业绩标准要求的其中一个条件就行。谢谢！,建设局,2017/5/4 0:00
关于二级注册建造师注册的相关问题,2017/5/4 0:00,1：本人目前在施工单位上班还是试用期，建造师已变更到该单位。但是试用期不满意该单位，想离职，然后证件不是要在单位满一年才能转注册吗，我想咨询是否能特殊情况特殊处理？我想离职的时候把证件给带走了？请问有什么比较好的办法能处理这种问题的？,你好，根据闽建许[2013]216号文，初始或变更注册须在同一单位执业满一年后方可申请注销或变更，注销后满一年方可办理重新注册。谢谢！,建设局,2017/5/4 0:00
预测楼盘表搭建及维护变更,2017/5/2 0:00,商品房项目主件已办理通过。现在商业部分从一个单位分割为四个单元，请问预测楼盘表搭建及维护变更，需要按初次报送的资料准备吗？还是只要提交主件收件单和新的测绘报告就行？,不能只提交那些，可以网上查看办事指南实测楼盘变更,国土房产局,2017/5/3 0:00
公司章程变更,2017/5/2 0:00,您好，想咨询下公司章程变更（董事由原来的6席变更成5席），需要提交哪些资料？（如需董事会决议或者股东决议，需具体体现哪些内容）方可？谢谢！,如属于内资，你需要办理的事项不是章程变更而是董事备案，请到我局网站http://www.xi########it.gov.cn/公示平台-办事指南-内资注册-示范文本、表格下载、登记须知三个栏目分别下载-公司-备案-董事、监事、高级管理人员备案登记相关材料、表格及股东会董事会的示范文本，涉及修改章程的股东会注明修改公司章程相关条款并提交章程修正案即可。,市场监督管理局（工商局）,2017/5/3 0:00
2016年年报,2017/5/2 0:00,今年年报多一项社保信息，里的缴费基数，本地的各个基数是多少呢,年报中的社保信息填写，请咨询社保部门。,市场监督管理局（工商局）,2017/5/2 0:00
办理个体工商户执照需要什么材料,2017/5/2 0:00,你好，我想办理集美一家门店的个体户营业执照，需要什么材料，到市行政服务中心办理吗还是集美行政服务中心办理？,个体工商户开业登记提交材料清单1.经营者签署的《个体工商户开业登记申请书》；经营者为台湾居民的还需提交《个体工商户经营者（台湾居民）登记表》；经营者为台湾农民的还需提交《个体工商户经营者（台湾农民）登记表》；经营者为港澳居民的还需提交《个体工商户经营者（港澳居民）登记表》。2.经营者的身份证明复印件，经营者为台湾农民的还需提交农民身份证明文件。其中：（1）经营者为内地居民的，其身份证明为居民身份证复印件；（2）经营者为台湾居民的，其身份证明为台湾居民来往大陆通行证复印件；（3）经营者为台湾农民的，其身份证明为台湾居民来往大陆通行证复印件；台湾居民身份证件复印件；农民身份证明可提交下列文件之一的复印件：加入台湾农业组织证明、台湾农民健康保险证明、台湾农民老年津贴证明等；（4）经营者为香港居民的，其身份证明应当提交：香港永久性居民身份证复印件；港澳居民来往内地通行证（回乡证）或香港特别行政区护照复印件；（5）经营者为澳门居民的，其身份证明应当提交：澳门永久性居民身份证复印件；港澳居民来往内地通行证（回乡证）或澳门特别行政区护照复印件。3.经营者委托代理人办理的，应提交经营者签署的《指定代表或者共同委托代理人授权委托书》。4.住所使用权证明文件；经营场所使用权证明文件及承诺书（备案经营场所的提交）。下列材料可以作为住所或者经营场所的使用权证明文件：（1）属于自有房屋的，提交产权证复印件或者经房产管理部门备案的购房合同复印件；（2）属于使用他人房屋的，提交租赁协议复印件或无偿使用证明；（3）属于租赁军队空余房地产的，提交《军队房地产租赁许可证》复印件或军队房管部门出具的有效证明；（4）无法提交前三项所列文件的，应当提交由辖区居（村）委会、市场开办单位、物业管理公司出具同意的证明。5、申请登记为家庭经营的，以主持经营者作为经营者登记，由全体参加经营家庭成员在《个体工商户开业登记申请书》经营者签名栏中签字予以确认。提交居民户口簿或者结婚证复印件作为家庭成员亲属关系证明；同时提交其他参加经营家庭成员的身份证复印件，对其姓名及身份证号码予以备案。港澳居民、台湾居民、台湾农民仅可申请登记为个人经营。6.涉及厦门市人民政府公布的《商事登记保留前置行政许可审批事项目录》的，提交批准文件或者许可证书复印件。7.经名称预先核准的，提交《名称预先核准通知书》及申请材料（注：申请材料在办理商事主体名称预先核准时已提交给商事登记机关的无需再提交）。注：1.依照《个体工商户条例》、《个体工商户登记管理办法》、《厦门经济特区商事登记条例》设立的个体工商户适用本清单。2.可登录“厦门市商事主体登记及信用信息公示平台”（www.xi########it.gov.cn）→从首页“商事登记”栏目下载或者到商事登记机关领取相关表格，按所附要求填写。3提交的登记申请文书与申请材料应当使用A4型纸。以上申请材料内容相同的只需提交一份。4.提交材料未注明提交复印件的，应当提交原件；提交复印件的，应当注明“与原件一致”并由申请人签署，或者由其指定的代表或共同委托的代理人加盖公章或签字。5.提交材料涉及签署的，自然人由本人签字，法人和其他组织加盖公章。6.申请材料应用黑色或蓝黑色钢笔、签字笔填写。7.提交材料涉及提交自然人身份证件复印件的，需提交身份证件正反两面的复印件。8.商事主体申请经营范围、经营场所备案涉及《厦门市经营场所禁设区域目录》的，按照《厦门市商事主体经营场所备案及监管若干规定》执行。9.以上凡是涉及本部门颁发的证照复印件和批文复印件不再要求提交，凡是可通过电子证照库查询共享到的证照，不再要求提交相关纸质证照复印件。上述申请材料由登记机关自行打印并归档。个体户办理请到地址所在地市场监督管理所办理，具体也可咨询集美区市场监督管理局60###28,市场监督管理局（工商局）,2017/5/3 0:00
关于股权质押的手续,2017/4/28 0:00,请问下股权质押要如何办理，根据那份办事指南来办理，质权合同是否有版本。,1、内资企业按内资企业股权出质登记提交材料清单办理，网址：http://www.xm##jg.gov.cn/bsdt/bszn/gs##zc/ywzn/##zy/nz##/##xz/##########/20##09/t2###########53.htm2、外资企业按外商投资企业股权出质登记提交材料规范办理，网址：http://www.xm##jg.gov.cn/bsdt/bszn/gs##zc/ywzn/##zy/wz##/##xz/fr##zt/ws##qy/gqcz/20##09/t2###########25.htm3、质权合同无范本,市场监督管理局（工商局）,2017/5/2 0:00
二手房赠与，网签需要准备哪些资料？,2017/4/19 0:00,尊敬的领导：您好！我要办理二手房赠与的网签与过户，请问需要准备哪些资料？需要哪些人到场？注：1、双方不是亲属关系；2、赠与方已拥有房子16年；3、受赠方在厦门没有房子，这一次属于首套房；4、房子在岛内东渡片区123㎡；5、银行已解压。,赠与方：婚前：产权人到场，身份证、结婚证、户口本、产权证婚后：夫妻双方到场，双方的身份证、结婚证、户口本、产权证受赠方身份证关系证明，赠与合同,厦门市不动产登记中心,2017/4/19 0:00
老房子补办房产，拿到房产证后会不会受到2年限售规定,2017/4/20 0:00,房子是之前镇海路搬的，一直没有做房产证。房子是爷爷那代的，因为种种关系，所以并没有很好的解决。如果现在解决了，房产证拿出来了，可以直接卖吗？还是要等2年？房产证还在弄，还没弄出来。这种算是补办的，又不算是交易，所以想请教一下。,如果房子不是在3月25日之后通过一手或是二手得来的，就不需要等2年再卖,厦门市不动产登记中心,2017/4/20 0:00
营业执照换证材料,2017/4/21 0:00,请问下营业执照快到期了，要办证需要什么材料？,因无法确认留言人所称快到期的营业执照类型，无法做更为明确的解答。营业期限一般属备案事项如属于外资公司，则需提交材料请参阅厦门市市场监督管理局网站“办事大厅”-“外资商事主体注册”-“登记须知”-“法人商事主体”-“外商投资企业”-“备案”-《外商投资企业备案提交材料清单》；如属于内资公司，则需提交材料请参阅厦门市市场监督管理局网站“办事大厅”-“内资商事主体注册”-“登记须知”-“公司登记”-“备案登记”-《公司备案办事指南》。请按清单要求提交材料,市场监督管理局（工商局）,2017/4/21 0:00
限购政策,2017/4/21 0:00,如果是外籍身份，证件是外籍护照，但由于从小在厦门鼓浪屿长大，非常喜爱自己的家乡厦门，特别是厦门过去10年已变成非常美丽，希望以后可以长期回到厦门定居。但是由于离开厦门30多年，在厦门没有房子。希望现在能买套房子才有可能以后回耒长期居住。请问在限购的政策下，外籍身份在厦门没有房子是否可以买一套100平方米以下的小房，从而达成回家乡定居的愿望。谢谢！,外籍人士如果在厦门没有房子可以买180以下的房子一套,国土房产局,2017/4/21 0:00
生育津贴,2017/4/17 0:00,你好,你好，请问有什么需要帮助？,财政局,2017/4/18 0:00
资质社保,2017/4/17 0:00,企业现在增项或者新设立企业像技工证跟建造师有没有要求缴纳社保？,你好，如你申请的建筑业企业资质为省厅委托下放的序列资质，人员社保缴纳的相关政策可参照福建省住房和城乡建设厅颁布的《建筑业企业资质审查导则》执行；如你申请的建筑业企业资质为建筑企业三级资质序列和劳务资质，除技工证不考核社保外，其它申报人员考核社保。具体政策咨询可拨打办理窗口电话77###75进行咨询。谢谢！,建设局,2017/4/18 0:00
介绍信,2017/4/13 0:00,请问我现在要去拿延期的三类人员证需要的介绍信是什么样的格式呢,你好，不需要。谢谢！,建设局,2017/4/13 0:00
关于挂靠社区集体户,2017/4/10 0:00,我想咨询一下，之前未在厦门工作，现辞职后在厦门刚刚入职，现需要将户口从前公司集体户迁出，现公司暂无集体户，是否可以将户口挂靠至现公司所在的社区集体户？该如何申请办理？,你好，请向公安局户籍部门咨询。,民政局,2017/4/10 0:00
