style,section,deliver_t,title,content,reply_c,reply_t
建议,"交通执法集美大队,公安分局",2017/12/13 9:11,明达老城区停车问题,明达附近的老城区车子都没有地方停都停在了外面的街上造成道路拥挤很难通行,(公安分局)2017/12/2710:40:10:集美分局交警大队（杏林中队）反馈：我队已加派警力继续加强该路段违停整治，严查严处违停行为，持续震慑，有效劝导，加大宣传，规范市民文明有序停车，确保道路安全畅通。,2017/12/27 15:07
建议,规划分局,2017/12/17 0:01,关于在联发杏林湾一号小区与万科里之间修建天桥的建议,目前联发杏林湾一号小区和中海寰宇天下小区在杏林东路南侧，附近无购物中心或商场超市满足生活需求。而去往对面最近的商场万科里，需要绕行杏林东路，非常不便。建议修建人行天桥，减少居民出入困难。,(规划分局)2017/12/1912:19:40:您好，商场万科里和中海小区之间跨杏东路已在策划生成人行天桥项目，目前正在方案论证评审，业主单位为区交通主管部门。,2017/12/19 17:18
建议,"公路分局,规划分局",2017/4/17 17:07,关于集美新城核心区道路疏通问题,位于集美新城核心区域的中航城国际社区C区，却没有与其核心地段相匹配的交通配套。项目东侧和南侧的断头路疏通问题已整治了好几年，西亭村拆迁问题也搁置，极大影响了大社区内居民的出行。眼下1号线即将运行，而该小区通往官任站、集美市民公园等配套的道路却毫无进展，请相关部门给予回复并重视，加快整治，体现新城应有的效率。,集美新城核心市区的道路已规划，部分路段因涉及村庄拆迁未能建设，具体拆迁时间安排以集美区决策为准。我局将把情况报道路建设主管部门——集美交通运输局。,2017/5/3 15:23
建议,"杏林街道,文体广电出版旅游局",2017/6/12 11:36,杏林月美池公园篮球改善,杏林月美池公园有个篮球场，是周边篮球爱好者锻炼的好去处，但因篮球场多年裸露爆晒雨淋，现阶段场地破烂不堪，烦请相关部门给予支持修建提升场地质量，给大家1个更加安全完整的运动场所，谢谢！,(文体广电出版旅游局)2017/8/2810:42:10:对于体育设施改善，我局的主要职能是指导公共体育设施的建设，负责公共体育设施的监督管理。杏林月美池公园的篮球场属于公园管理处，不属于我局管辖范围。,2017/8/28 11:19
建议,"公路分局,灌口镇",2017/8/14 14:01,灌口中桥手机城旁边道路坑洼失修,"公路养护部门,在灌口中桥手机城旁边道路(双岭路口)段,已经坑坑洼洼好一阵子了,请问是否能给予及时修补完整?谢谢!",(灌口镇)2017/11/715:25:23:该处道路问题已修复,2017/11/7 15:29
建议,"规划分局,交通局",2017/10/12 13:02,地铁1号线开通后的与公交车配合,在地铁一号线集美学村站，建议开通到集美学村的公交，如集美红树康桥，中心花园，海景明珠，碧海蓝天，古龙明珠（盛光路，印斗路，集源路，浔江路）的公交。满足居民的出行方便，谢谢！,(交通局(规划分局))2017/10/189:16:19:您好，政民互动MD0037401号建议收悉，现回复如下：目前集美学村的公交线路已经在规划中，届时将根据地铁一号线的完成情况适时对公交线路进行完善。,2017/10/18 10:47
建议,执法局,2017/10/13 11:40,违章占用公共用地,位于杏林村苑北路109号的违章抢建实在太霸道了，原本土地证上的面积就只有70平方米，可房主却不顾周边居民的感受，随意霸占公共用地达到一百多平！！此行为实在是无视法规，恳请相关执法部门尽快前往制止！！,(执法局)2017/10/3115:43:18:一、基本情况,2017/10/31 16:01
建议,交通局,2017/10/13 13:04,集美906路公交追加停靠杏东小学站,目前嘉庚体育馆到杏林宁海社区的公交车只有918一路而已，给造成宁海社区的市民出行带来相当不便。而且918的发车间隔25分一班或甚至更久。而906路公交车是由集美开出经过杏林湾再到杏林西滨。途中经过杏滨路，然后直接拐到高浦路口站，宁海社区的市民必须在高浦路口站下车，而高浦路口站距离宁海社区较远。特别是离禹洲中央海岸二期1.5公里左右，走路15~20分钟。有时候又提着重物，实在不方便。希望906的路线可以调整，经过杏滨路和文达路(杏林大桥引桥底下，靠杏东小学）时，左拐进文达路，在杏东小学站经停，再走海边，经停宁海二里和万科里，接着再经过高浦路口。同时也方便从宁海社区出行至杏林湾，华侨大学等。也可以弥补918车辆太少的不足。请慎重考虑。望批准,(交通局)2017/10/189:16:54:您好，政民互动MD0037407号建议收悉，现回复如下：1、918路目前有4部车子，接下来公交公司将根据客流量的需求逐步增加车辆，尽量满足民众出行需求。2、关于906路绕行问题，目前宁海社区内有996路、908路、918路三条线路经过，建议乘坐这三条线路出行换乘。感谢您的建议与意见。,2017/10/18 10:46
建议,公安分局,2017/10/13 16:40,建议IOI园博园周边路上安装摄像头！自动抓拍违章停车者！,建议IOI园博园周边路上安装摄像头！自动抓拍违章停车者！周边路上车停满了！严重影响交通和安全！希望多装些自动抓拍得摄像头！扣分与罚钱并用！！！！！！！！！,(公安分局)2017/10/2415:22:27:集美分局交警大队（杏林中队）反馈：感谢该位群众反映的问题及对交通管理工作的支持！我队一直都有在该区域进行违停整治，会加大整治力度，全力规范路面停车秩序，确保道路交通安全有序。另外，对于“安装摄像头”有关事宜，中队将联系相关部门到现场勘察，同时会将最新进展向信访人反馈。,2017/10/25 9:44
建议,灌口镇,2017/10/15 6:58,强烈建议灌口镇东辉村文山社纳入拆迁,灌口镇东辉村文山社紧靠正新轮胎厂，空气污染严重，对村民的身体健康造成永久的伤害，强烈建议政府尽快拆迁。,(灌口镇)2017/10/2016:47:43:我镇将加大征拆力度争取尽快完工。,2017/10/21 15:29
建议,执法局,2017/10/17 14:54,表扬和建议,锦园片区交警部门为了保障周边道路的通行，不惜牺牲晚上下班及周末休息时间进行违停拍照贴单，下雨天也不辞辛劳，实在难得。不过在此建议，将重点执法范围（违章贴单）从附近不影响道路通行的区域移至锦园南路锦园村口路段，该路段长期车辆靠边违停，道路两侧乱摆卖（乱摆卖现象建议联合城管部门共同执法），每天上下班高峰期严重影响通行。非常感谢！,(执法局)2017/10/3115:47:58:一、基本情况,2017/10/31 15:54
建议,交通局,2017/10/17 19:21,集美906路公交追加停靠杏东小学站,目前嘉庚体育馆到杏林宁海社区的公交车只有918一路而已，给造成宁海社区的市民出行带来相当不便。而且918的发车间隔25分一班或甚至更久。而906路公交车是由集美开出经过杏林湾再到杏林西滨。途中经过杏滨路，然后直接拐到高浦路口站，宁海社区的市民必须在高浦路口站下车，而高浦路口站距离宁海社区较远。特别是离禹洲中央海岸二期1.5公里左右，走路15~20分钟。有时候又提着重物，实在不方便。希望906的路线可以调整，经过杏滨路和文达路(杏林大桥引桥底下，靠杏东小学）时，左拐进文达路，在杏东小学站经停，再走海边，经停宁海二里和万科里，接着再经过高浦路口。同时也方便从宁海社区出行至杏林湾，华侨大学等。也可以弥补918车辆太少的不足。请慎重考虑。望批准,(交通局)2017/10/239:56:38:您好，政民互动MD0037425号建议收悉，现回复如下：1、918路目前有4部车子，接下来公交公司将根据客流量的需求逐步增加车辆，尽量满足民众出行需求。2、关于906路绕行问题，目前宁海社区内有996路、908路、918路三条线路经过，建议乘坐这三条线路出行换乘。感谢您的建议与意见。,2017/10/23 16:07
建议,交通局,2017/10/18 9:42,932公交车能否多增加几台车及班次,932公交车，从陈井村发往塔边的公交车平时就40分钟左右才一班车，碰到车子检修或者车子坏了，司机休假等各种原因经常停发班次，要等一个多小时才有一趟车。本来村里交通就很不方便，这样给我们出行带来很大困扰。特别是要来上班，经常遇到没有发车，上班都没有车子坐，只能迟到。下班也经常要等一个多小时才有车回家。希望有部门能解决此问题，感谢。,(交通局)2017/10/239:56:12:您好，政民互动MD0037426号建议收悉，我局责成公交公司调查处理，现回复如下：932路目前有3部车，间隔30-40分钟一班，经与公交公司沟通协调，公司表示将尽量结合上下班时间安排车辆运营，由于上下班高峰时期民众集中出行，加上道路拥堵，致使车辆班次周转较慢，车厢内拥挤，对此给民众出行带来的不便，敬请民众谅解。我局也已督促公司尽量做好车辆调度安排，尽可能满足民众出行需求，同时也将根据客流量的变化及时对车辆数进行更改。感谢您的建议与意见。,2017/10/23 16:08
建议,,2011/12/6 16:09,关于加强停车位管理的建议,大唐世家小区边上的停车场位置是在盛光路靠乐海路这头。这样应该清楚了吧。建设局的答复没有具体的互动沟通栏目可填写，只好重写建议。能否通过邮件或短信给予回复，谢谢！,1、盛光路全路段皆设有路灯照明；,2011/12/8 9:25
建议,,2012/2/14 15:47,东安村前占和后郑安装路灯的咨询,请问东安居委会，去年曾经有咨询过：东安居委会的前占和后郑没有路灯，也没有埔水泥路的事情，你们在去年5月回复说，要进一步协商，想请你们结果如何呢？盼回复！,前占和后郑的主要道路均已完成了道路硬化，水泥路均已铺设完毕。关于社区内路灯的设置，居委会也已将相关计划上报有关部门了。,2012/2/21 10:40
建议,,2012/3/21 16:09,923路公交延伸线路的建议,923路公交车能不能延伸几百米，到岩内村墩上社啊~！方便广大村民的出行，整个墩上社有千号人，每次出行都要走好几百米的路。,根据相关要求，行政村公交线路通达村部即可。关于923路公交线路延伸一事，我所将责成公交公司现场勘察，视道路状况及是否有适合公交车停靠的终点站情况而定。,2012/3/28 10:13
建议,,2012/5/29 9:21,集美污水处理厂问题的建议,污水处理对现代城市是非常重要的，直接影响到整个城市的生活质量。集美污水厂日处理污水4.5万吨，以后达到9万吨，解决了本地污水处理问题。集美的环境大大改善，受到居民好评。然而本人在参观的时候发现这里空气质量很差，刺鼻的气味到处都有，该厂应加大力度，尽力把厂区的空气处理好，避免影响周围的居民。还有污泥的肥料价值非常高，可以利用，但是该厂的处理方式不当，最后还直接拖去填埋，甚至原地在扩建二期用地填埋，浪费了资源，因此，该厂应改变处理方式，回收利用剩余污泥。,市民反映的问题已转办水务集团，水务集团表示跟当事人联系。,2012/5/29 17:04
建议,规划分局,2012/4/29 10:39,关于杏林规划大型超市的建议,杏林在廈門也是作為較早發展的地域之一，而且還作為一個區存在幾十年。杏林的餐飲娛樂行業在島外也是較發達的，但是商業方面，特別是大型百貨超市方面，跟後來崛起的集美和海滄比，差的一塌糊塗。現在連海滄的新安村都有了大型超市，更不用說集美和海滄。作為杏林人，每次周末想去購物，一想到杏林只有萬佳、利民這兩家小超市，環境差、設備次、商品不齊全、服務態度不敢恭維等，就一點興致都沒有，沒辦法，只能大老遠跑到集美或島內去。大部份杏林人都跟我有同感，杏林的消費能力不差、人口多、地理位置好，杏東商業街也已經發展多年，曾經是灌口方向、新安到東孚方向的居民購物時所喜歡的地點之一，但是現在已經是過去式了。為何就引不進大型超市呢？沒地點？沒位置？還是城建沒有規劃好？商業沒有佈局好？應該引起杏林當局的檢討,杏林目前的确没有较大型的超市，不是政府不想引进，而是原来我们杏林缺乏引进大型超市的消费环境，大超市不想来。近两年，杏林三产发展有了质的提高，相信不久将来会有大型超市进驻。,2012/5/11 17:10
建议,建设局,2012/6/26 18:09,关于对西滨路与新源路口公交车站台设置停车标志和行车路线牌的建议,西滨路与新源路口公交车站无停车标志和行车路线牌，给市民出行带来很多不便，盼公交公司能及时解决！,我所将配合公交站点建设管理单位现场察看。,2012/6/27 16:26
建议,教育局,2012/6/29 16:23,关于集美二小四年五班别再安排代课老师的建议,集美二小的领导们您们好！,经了解，集美二小四年五班目前师资稳定，班集体积极向上，本次期末考数学平均分列年段第三，语文平均成绩位于年段第二（年段5个班），语数英三科只有数学老师是代课老师，该老师是从集美小学退休的小学数学高级教师，应该说在师资配备上学校是比较重视的，学生的学习不会受到影响。对于家长的建议，学校将积极采纳，并衷心感谢家长对我区教育事业的关注和关心。,2012/7/4 16:42
建议,公路分局,2012/6/27 12:23,关于对西滨立交桥路面修补的建议,连接杏林到灌口的西滨立交桥出现了好几个大坑，之前一段时间，从杏林内茂到灌口三社路口的道路一直在修，现在铺上了一层柏油路，但是到了西滨立交桥，几个路口的地方居然没有处理平整，出现了好几个大坑，车从上面都很难经过，已经出现了很长时间，而且从内茂到灌口的这条路，路灯经常不开，要嘛今天开一小段，明天开一小段的，这里又是高速入口，大车很多，对于过往的车辆和行人来说都是非常不安全的，希望有关部门要以方便民众出行，让民众安全出行为第一，抓紧时间处理，让我们的生活更美好。,市民所反映的西滨立交桥桥面出现坑洞问题我局已组织修复好。连接西滨立交桥路口坑洞问题，靠近西滨路为区建设局管理，据区建设局反馈，已将坑洞修复好，靠近集灌路段，目前由市路桥集团对集灌路进行拓宽改造，经我局联系路桥集团项目部，项目部反馈：由于集灌快速路改造工程是改扩建工程，相应的管线也需要迁改。西滨立交匝道口路面出现破损问题是由于管线单位施工时破路造成的，现各匝道口已恢复一半（因要维持通车，不能封路，只能一半一半恢复），近几天内能把另外一半恢复。,2012/7/5 16:37
建议,建设局,2012/7/1 20:40,灌口双桥明珠煤气管道铺设的建议,灌口双桥明珠煤气管道怎么还没弄？很不方便，很不安全！乐活小镇比较晚开盘都早已经可以用煤气管道了！怎么会这样？！,1、该项目气源来自灌六路市政燃气管，其中过铁山溪段设计方案未定，目前正在设计中。,2012/7/19 9:21
建议,交警大队,2012/7/3 8:41,加强日东路巡查工作的建议,杏林日东路本身就是双向单车道，已经很窄了，再加上违章停车，经常堵的水泄不通，请交警加强对这条路的巡查工作，对违章停车予以应有的处罚。,,
建议,教育局,2012/7/3 12:01,关于乐活小镇居民小孩上公办幼儿园的建议,幼儿园按照就近入园的原则，乐活小镇也应该纳入灌口中心幼儿园入学，现在目前都没有一所公办幼儿园把乐活小镇纳入招生片区内，请问所谓的划片区招生依据是什么，(小区很多居民都是园区引进人才和重点项目单位职工，为什么连起码的市民待遇都没有），老百姓入学怎么这么难！,国务院转发教育部等十部门《关于幼儿教育改革与发展的指导意见》（国办发[2003]13号）中提出：幼儿教育改革的总目标是：形成以公办幼儿园为骨干和示范，以社会力量兴办幼儿园为主体，公办与民办、正规与非正规教育相结合的发展格局。公办幼儿园在学前教育中主要是示范辐射作用。,2012/7/5 16:35
建议,执法局,2012/7/5 19:07,灌口景山路翔悦四季工地后面违法抢建的投诉,灌口景山路翔悦四季工地后面往灌口医院上坡处，有人非法占地，违法抢建厂房。该处系已征用的私人开荒地。目前集美城管灌口中队放水，选择性执法，目前该处厂房已快完工。希望灌口中队的陈队长，责令片区吕组长严肃面对这起投诉，还有镇政府责任片区土地巡查员，也有责任！拆除改违法抢建的厂房。我们会密切关注事态的发展。希望灌口中队能像拆除灌口西蔡香厂的违法抢建的铁皮屋一样，坚决严肃拆除违法建设的厂房！不要投诉到区政府相关部门领导带队，你们才要行动！,经查，在灌口镇灌口第一社区景山路91号旁（灌口三德利盐鸭店后面的围墙内）一处建设，占地面积400平方米，当事人洪*祥，现状钢构铁皮屋一层封顶，未能提供审批手续。,2012/7/19 8:49
建议,执法局,2012/7/9 2:59,印斗路煎蟹馆夜晚噪音扰民的投诉,现在都深夜2：00钟了，四周静悄悄，大家都进入梦乡，但印斗路煎蟹馆在人行道上经营，一桌人喝酒划拳，说笑，喊叫声起起伏伏，吵醒附近居民难以入睡，，严重影响周围居民们身体健康。恳请区政府能严厉警告商家，居民区店家11：00过后不在人行道摆桌，给少部分只顾自己赚钱的店家和不分时间场合，只顾自己玩乐制造噪音的人有所限制。也给持法巡逻的干警有规可循。多次投诉，屡次警告不改者，按《治安管理处罚法》罚，店家就会重视管理杜绝夜间噪音，还大家安静夜晚。共同创建文明区市。而不是约束几天检查冠名。,关于反映印斗路煎蟹馆夜间占道扰民的问题。我局集美中队执法人员已与店家进行沟通，要求店家严格遵守环保有关规定。执法中队已开具《责令改正通知书》（NO：3000706），责令当事人自行整改，停止占道经营，否则将按厦门市市容环境卫生管理有关规定进行查处。近几天，中队派专门人员到现场查看，该店在晚上21：00以后基本就停止营业，不存在依然在人行道经营至凌晨2：00，今后，中队将将加强该地段的监控，同时也欢迎群众及时来电，中队24小时有人值班（中队值班电话6680028或局投诉电话6258993），执法人员会及时到现场进行处理。,2012/7/16 10:52
